a	eɪ
oen	əʊ n
oenjjok	əʊ n dʒ ɒ k
oenjjokbuteo	əʊ n dʒ ə k b j uː t eɪ əʊ
oerae	əʊ ə ɹ iː
oeraejinryo	əʊ ə ɹ iː dʒ ɪ n ɹ ɪ əʊ
oeroume	əʊ ə ɹ aʊ m
oesancha	iː s a n tʃ ə
oetu	əʊ t uː
oeyange	əʊ j a ŋ
oganeun	ɒ ɡ ɐ n j uː n
oge	əʊ dʒ
ogi	əʊ ɡ ɪ
ogo	əʊ ɡ əʊ
ohaee	əʊ h iː
ohaeneun	əʊ h iː n j uː n
ohiryeo	əʊ h ə ɹ ɪ eɪ əʊ
ohongjun	əʊ h ə ŋ dʒ ʌ n
ohu	əʊ h uː
ohubuteo	əʊ h j uː b j uː t eɪ əʊ
ohueneun	əʊ h j uː ə n j uː n
ohukkaji	əʊ h ə k a dʒ i
ohyangdaejedo	ɒ h j a ŋ d iː dʒ iː d əʊ
oikawa	ɔɪ k ɑː w ə
oilsyokeu	ɔɪ l s ɪ əʊ k uː
ojeon	əʊ dʒ ɪ ə n
ojeone	əʊ dʒ ɪ əʊ n
oji	əʊ dʒ i
ojik	ɒ dʒ ɪ k
ojingeo	əʊ dʒ ɪ n dʒ eɪ əʊ
ojon	ɒ dʒ ɒ n
ojunyeonggunui	ɒ dʒ ə n j əʊ ŋ ɡ ə n j uː i
okcheonguneun	ɒ k tʃ ə ŋ ɡ ʌ n j uː n
okeu	əʊ k uː
okeulraendeuro	əʊ k ə l ɹ iː n d j uː ɹ əʊ
oksi	ɒ k s i
oksiga	ɒ k s ɪ ɡ ə
oksina	ɒ k s ɪ n ə
oksirekitbenkijeoga	ɒ k s aɪə k ɪ t b ə ŋ k aɪ dʒ əʊ ɡ ə
ol	ɒ l
olbareudago	ɒ l b eə j uː d eɪ ɡ əʊ
olbareun	ɒ l b eə ɹ ʌ n
olbeuraiteu	ɒ l b j uː ɹ eɪ t j uː
olboreu	ɒ l b ɔː ɹ uː
olchi	ɒ l tʃ aɪ
olcho	ɒ l tʃ əʊ
olgaeulkke	ɒ l ɡ iː ʌ l k
olhae	ɒ l h iː
olhaeboda	ɒ l h iː b əʊ d ə
olhaebuteo	ɒ l h iː b j uː t eɪ əʊ
olhaebuteoneun	ɒ l h iː b j uː t ɪ əʊ n ʌ n
olhaeneun	ɒ l h iː n j uː n
olhaero	ɒ l h eə ɹ əʊ
olmaganeun	ɒ l m ɐ ɡ a n j uː n
olppaemireul	ɒ l p iː m aɪə ɹ ʌ l
olra	ɒ l ɹ ə
olraga	ɒ l ɹ ɑː ɡ ə
olragame	ɒ l ɹ ɐ ɡ eɪ m
olragamyeon	ɒ l ɹ ɐ ɡ a m j əʊ n
olraganeun	ɒ l ɹ ɐ ɡ a n j uː n
olragaseo	ɒ l ɹ ɐ ɡ eɪ s ɪ əʊ
olragatda	ɒ l ɹ ɐ ɡ a t d ə
olraon	ɒ l ɹ eɪ ɒ n
olrasseo	ɒ l ɹ a s eɪ əʊ
olrataja	ɒ l ɹ ɐ t ɑː dʒ ə
olratda	ɒ l ɹ a t d ə
olratdeon	ɒ l ɹ ɐ t d ɪ ə n
olratjiman	ɒ l ɹ ɐ t dʒ ɪ m ə n
olrawa	ɒ l ɹ ɑː w ə
olrawatgo	ɒ l ɹ ɐ w ɒ t ɡ əʊ
olrawatseupnida	ɒ l ɹ ɐ w ɒ t s j uː p n ɪ d ə
olribeuyuga	ɒ l ɹ aɪ b aɪ uː ɡ ə
olrigido	ɒ l ɹ ɪ dʒ iː d əʊ
olrigo	ɒ l ɹ ɪ ɡ əʊ
olrigodanggwa	ɒ l ɹ ɪ ɡ ɒ d a ŋ ɡ w ə
olrigoneun	ɒ l ɹ ɪ ɡ ɒ n j uː n
olriji	ɒ l ɹ ɪ dʒ i
olril	ɒ l ɹ əl
olrimpigeul	ɒ l ɹ ɪ m p aɪ dʒ ʌ l
olrimyeo	ɒ l ɹ ɪ m ɪ eɪ əʊ
olrin	ɒ l ɹ ɪ n
olrindamyeonseo	ɒ l ɹ ɪ n d a m j əʊ n s eɪ əʊ
olrindaneun	ɒ l ɹ ɪ n d a n j uː n
olrineun	ɒ l ɹ aɪ n ʌ n
olryeo	ɒ l ɹ ɪ eɪ əʊ
olryeojuji	ɒ l r j əʊ dʒ uː dʒ i
olryeojun	ɒ l r j əʊ dʒ ʌ n
olryeojwotseupnida	ɒ l r j əʊ dʒ w ɒ t s j uː p n ɪ d ə
olryeojyeo	ɒ l r j əʊ dʒ ɪ eɪ əʊ
olryeonochyo	ɒ l r j əʊ n ɒ tʃ ɪ əʊ
olryeonoeusipsio	ɒ l r j əʊ n əʊ j uː s ɪ p s ɪ əʊ
olryeotda	ɒ l r j əʊ t d ə
oltaneun	əʊ l t ɐ n j uː n
omahaui	ɒ m ɐ h ɔː i
omainyuseu	ɒ m eɪ n j uː s j uː
omgil	ɒ m dʒ ɪ l
omgimyeonseo	ɒ m dʒ ɪ m j əʊ n s eɪ əʊ
omgin	ɒ m dʒ ɪ n
omgineun	ɒ m dʒ ɪ n j uː n
omgyeo	ɒ m dʒ ɪ eɪ əʊ
omgyeogago	ɒ m dʒ j əʊ ɡ eɪ ɡ əʊ
omgyeojyeo	ɒ m dʒ j əʊ dʒ ɪ eɪ əʊ
omgyeojyeosseuna	ɒ m dʒ j əʊ dʒ j əʊ s j uː n ə
omgyeojyeotda	ɒ m dʒ j əʊ dʒ j əʊ t d ə
omgyeojyeotseupnida	ɒ m dʒ j əʊ dʒ j əʊ t s j uː p n ɪ d ə
omgyeoseo	ɒ m dʒ j əʊ s eɪ əʊ
omgyeoya	ɒ m dʒ ɪ ɪ ɔɪ ə
omjjakdalssak	ɒ m dʒ ɐ k d a l s a k
omossiga	ɒ m ɒ s ɪ ɡ ə
omyeon	ɒ m ɪ ɪ ə n
on	ɒ n
ondamyeon	ɒ n d ɐ m j əʊ n
ondaneun	ɒ n d ɐ n j uː n
ondoboda	ɒ n d ə b əʊ d ə
ondoga	ɒ n d əʊ ɡ ə
ondogyeneun	ɒ n d ə dʒ ɪ ɛ n j uː n
ondoreul	ɒ n d ɔː ɹ uː l
onduraseu	ɒ n d j ʊə ɹ a z j uː
oneoin	w ɒ n ɔɪ n
oneul	w ɒ n ʌ l
oneuldo	w ɒ n ʌ l d əʊ
oneulnaeil	w ɒ n ə l n iː ɪ l
oneulnal	w ɒ n ʌ l n əl
oneulnarui	w ɒ n ə l n ɑː ɹ uː i
oneulro	w ɒ n ʌ l ɹ əʊ
oneun	w ɒ n ʌ n
oneurui	w ɒ n j uː ɹ uː i
ongat	ɒ ŋ ɡ a t
onghohae	ɒ ŋ h əʊ h iː
onghohan	ɒ ŋ h əʊ h a n
ongjingune	ɒ ŋ dʒ ɪ ŋ ɡ j uː n
onjeonhan	ɒ n dʒ ɪ ɒ n h ə n
onjeonhi	ɒ n dʒ ɪ ɒ n h ɪ
onmomi	ɒ n m əʊ m i
onrain	ɒ n ɹ eɪ n
onraineseoneun	ɒ n ɹ eɪ n ɛ s ɪ əʊ n ʌ n
onraineuro	ɒ n ɹ eɪ n j uː ɹ əʊ
onrainsangeuro	ɒ n ɹ eɪ n s ɐ n dʒ j uː ɹ əʊ
onsil	ɒ n s əl
onsudongdo	ɒ n s uː d ɒ ŋ d əʊ
opeunhae	əʊ p ə n h iː
opeunhaetda	əʊ p ə n h iː t d ə
opnida	ɒ p n ɪ d ə
opsyeoneolbencheoseu	ɒ p s j əʊ n ɪ ɒ l b ə n tʃ ɪ əʊ s uː
orae	ɔː ɹ iː
oraedoeeotda	ɔː ɹ iː d əʊ ɪ ɒ t d ə
oraedoen	ɔː ɹ iː d əʊ n
oraen	ɔː ɹ iː n
oraerago	ɔː ɹ ɑː ɹ eɪ ɡ əʊ
oraetdongan	ɔː ɹ iː t d ɒ ŋ ɡ ə n
orakgarakhan	ɔː ɹ ɐ k ɡ a ɹ a k h ə n
orakgarakhaneun	ɔː ɹ ɐ k ɡ a ɹ ɐ k h a n j uː n
orenjidukkeobiga	ɒ ɹ ə n dʒ ɪ d ə k ɪ ɒ b ɪ ɡ ə
oreudaga	ɔː ɹ ɔɪ d ɑː ɡ ə
oreugetseupnida	ɔː ɹ uː ɡ ɛ t s j uː p n ɪ d ə
oreugo	ɔː ɹ uː ɡ əʊ
oreumsereul	ɔː ɹ uː m s ə ɹ uː l
oreumyeon	ɔː ɹ uː m j əʊ n
oreumyeonseo	ɔː ɹ uː m j əʊ n s eɪ əʊ
oreun	ɔː ɹ uː n
oreuneun	ɔː ɹ uː n j uː n
oribareul	ɒ ɹ ɪ b eə ɹ ʌ l
osaekkeibeulka	ɒ s iː k eɪ b j uː l k ə
osakasiui	ɒ s ɐ k eɪ s ɪ j uː i
oseul	əʊ s ʌ l
oseun	əʊ s ʌ n
oseuteoneun	əʊ s j uː t ɪ əʊ n ʌ n
oseuteureilria	əʊ s j uː t j uː ɹ eɪ l ɹ iə
oseuteuria	əʊ s j uː t j uː ɹ iə
osip	ɒ s ɪ p
osongeubigo	ɒ s ɒ n dʒ j uː b ɪ ɡ əʊ
osoriui	ɒ s ɔː ɹ ɪ j uː i
ossiga	ɒ s ɪ ɡ ə
ossineun	ɒ s aɪ n ʌ n
otareul	ɒ t eə ɹ ʌ l
otgwa	ɒ t ɡ w ə
otobaireul	ɒ t ə b eə ɹ ʌ l
oyeolhaetda	ɔɪ ɪ ɒ l h iː t d ə
oyeomdoeeotseupnida	ɔɪ ɪ ɒ m d əʊ ɪ ɒ t s j uː p n ɪ d ə
paageul	p ɑː dʒ j uː l
paakdoego	p ɑː k d əʊ ɡ əʊ
paakdoen	p ɑː k d əʊ n
paakdwaetda	p ɑː k d w iː t d ə
paakdwaetjiman	p ɑː k d w iː t dʒ ɪ m ə n
paakhaetda	p ɑː k h iː t d ə
paakhago	p ɑː k h eɪ ɡ əʊ
paakhaji	p ɑː k h a dʒ i
paakhal	p ɑː k h əl
paakhamyeon	p ɑː k h ɐ m j əʊ n
paakhan	p ɑː k h ə n
paakhanda	p ɑː k ʌ n d ə
pachulso	p a tʃ ʌ l s əʊ
pachulsoe	p a tʃ ə l s əʊ
padahage	p a d a h ɪ dʒ
padong	p a d ɒ ŋ
padongi	p a d ɒ ŋ ɡ i
paebaereul	p iː b eə ɹ uː l
paebaeui	p iː b iː j uː i
paegie	p iː dʒ i
paehyeoljeungieotda	p iː h j əʊ l dʒ j uː ŋ ɡ ɪ ɒ t d ə
paejeonhanji	p iː dʒ ɪ ɒ n h a n dʒ i
paekteuwa	p iː k t j uː w ə
paelriseue	p eɪ l ɹ aɪ s j uː
paendeuri	p iː n d j uː ɹ i
paeneolro	p iː n ɪ ɒ l ɹ əʊ
paengchanghan	p iː ŋ tʃ a ŋ h ə n
paengpaenghan	p iː ŋ p iː ŋ h ə n
paeninde	p iː n ɪ n d
paeobe	p iː əʊ b
paeobui	p iː ə b j uː i
paereodihan	p eə ɹ ɪ ɒ d ɪ h a n
paeseuteupudeuui	p iː s j uː t j uː p j uː d j uː j uː i
paesyeon	p iː s j əʊ n
paesyeonsaeobe	p iː s j əʊ n s iː əʊ b
paesyeonui	p iː s j əʊ n j uː i
paeteoneun	p iː t ɪ əʊ n ʌ n
paeteoni	p iː t ɪ əʊ n i
paeteonida	p iː t ɪ ɒ n ɪ d ə
paeteoseun	p iː t ɪ əʊ s ʌ n
paeteoseunirago	p iː t ɪ əʊ s j uː n ə ɹ eɪ ɡ əʊ
pagi	p ɑː ɡ ɪ
pagidoego	p a dʒ ɪ d əʊ ɡ əʊ
pagodeulgo	p a ɡ əʊ d ʌ l ɡ əʊ
pagoehae	p a ɡ əʊ h iː
pagoehan	p a ɡ əʊ h ə n
pagyeondwaesseuni	p a dʒ j əʊ n d w iː s j uː n i
pagyeondwaetgo	p a dʒ j əʊ n d w iː t ɡ əʊ
pagyeongeomsareul	p a dʒ j əʊ n dʒ ɪ ɒ m s eə ɹ ʌ l
pagyeonhal	p a dʒ j əʊ n h əl
painaensyeoltaimseuga	p eɪ n iː n s j əʊ l t eɪ m s j uː ɡ ə
paioniawa	p eɪ əʊ n ɪ ɑː w ə
paipeuwa	p eɪ p j uː w ə
paireul	p eə ɹ ʌ l
pairui	p eə ɹ uː i
paiting	p eɪ t ɪ ŋ
pajangeul	p a dʒ ɐ n dʒ j uː l
pajangeun	p a dʒ ɐ n dʒ j uː n
pakeu	p a k j uː
pakteuiga	p a k t j uː ɪ ɡ ə
pal	p a l
palbaek	p a l b iː k
palcheon	p a l tʃ ə n
paldarineun	p a l d ɑː ɹ aɪ n ʌ n
paldeon	p a l d ɪ ə n
paldoneun	p a l d əʊ n ʌ n
palgetdaneun	p a l ɡ ɪ t d a n j uː n
palgo	p a l ɡ əʊ
paljani	p a l dʒ ɑː n i
palji	p a l dʒ i
paljjineun	p a l dʒ aɪ n ʌ n
palril	p a l ɹ əl
palrin	p a l ɹ ɪ n
palrineun	p a l ɹ aɪ n ʌ n
palryeoseo	p a l r j əʊ s eɪ əʊ
palryeotda	p a l r j əʊ t d ə
palsip	p a l s ɪ p
pamana	p a m ɑː n ə
pampeulreseul	p a m p j uː l ɹ ɛ s j uː l
pampeulresui	p a m p j uː l ɹ ɛ s uː i
pamungwa	p a m ʌ ŋ w ə
pamuthyeo	p a m ə θ ɪ eɪ əʊ
pamyeolsikineun	p a m j əʊ l s ɪ k aɪ n ʌ n
pamyeolsikisil	p a m j əʊ l s ɪ k ɪ s əl
pamyeon	p a m j əʊ n
pamyeonharaneun	p a m j əʊ n h a ɹ ə n ʌ n
panchen	p a n tʃ ə n
panchokhwaldonge	p a n tʃ ə k h w ɒ l d ɒ n dʒ
pandago	p a n d eɪ ɡ əʊ
pandan	p a n d ə n
pandanarae	p a n d ɐ n a ɹ iː
pandaneul	p a n d ɐ n j uː l
pandanhae	p a n d ɐ n h iː
pandanhaeseo	p a n d ɐ n h iː s eɪ əʊ
pandanhaetda	p a n d ɐ n h iː t d ə
pandanhago	p a n d ɐ n h eɪ ɡ əʊ
pandanhal	p a n d a n h əl
pandanhamyeon	p a n d ɐ n h a m j əʊ n
pandani	p a n d ɑː n i
pane	p eɪ n
pangeomsaga	p a n dʒ ɪ ə m s ɑː ɡ ə
pangyeol	p a ŋ j əʊ l
pangyeolhaetda	p a ŋ j əʊ l h iː t d ə
pangyeoreul	p a ŋ j əʊ ɹ uː l
pangyeori	p a ŋ j əʊ ɹ i
panhui	p a n h j uː i
panjeongeul	p a n dʒ ɪ ɒ n dʒ j uː l
panjeongkkaji	p a n dʒ ɪ ɒ ŋ k a dʒ i
panmae	p a n m iː
panmaedoen	p a n m iː d əʊ n
panmaega	p a n m iː ɡ ə
panmaehaetda	p a n m iː h iː t d ə
panmaehagido	p a n m iː h ɐ dʒ iː d əʊ
panmaehamyeo	p a n m iː h a m ɪ eɪ əʊ
panmaehaneun	p a n m iː h a n j uː n
panmaejaga	p a n m iː dʒ ɑː ɡ ə
panmaekkaji	p a n m iː k a dʒ i
panmaereul	p a n m eə ɹ uː l
panmaero	p a n m eə ɹ əʊ
panmaeryangeun	p a n m eə j a ŋ j uː n
panmaesawonieotjiman	p a n m iː s a w ə n ɪ ə t dʒ ɪ m ə n
panmunjeomeul	p a n m ə n dʒ ɪ əʊ m ʌ l
panmyeongdwaetgittaemunida	p a n m j əʊ ŋ d w iː t dʒ ɪ t iː m j uː n ɪ d ə
pansa	p a n s ə
pansaneun	p a n s ɐ n j uː n
pansanimkkeseo	p a n s ɐ n ɪ m k ɪ s eɪ əʊ
pansereul	p a n s ə ɹ uː l
pappuriga	p a p j ʊə ɹ ɪ ɡ ə
papyeoneuro	p a p j əʊ n j uː ɹ əʊ
para	p a ɹ ə
parana	p a ɹ ə n ə
paraneomgyeo	p a ɹ ə n ɪ ɒ m dʒ ɪ eɪ əʊ
paranmanjanghan	p a ɹ ə n m a n dʒ a ŋ h ə n
parasel	p a ɹ ə z əl
paratda	p a ɹ ə t d ə
pareul	p eə ɹ ʌ l
pari	p a ɹ i
parije	p a ɹ aɪ dʒ
patanjuuiro	p a t ɐ n dʒ uː iə ɹ əʊ
pateuneoneun	p a t j uː n ɪ əʊ n ʌ n
paulrina	p ɔː l ɹ iː n ə
paulrineun	p ɔː l ɹ aɪ n ʌ n
paundeue	p ɔː n d j uː
paundeuhwa	p ɔː n d j uː h w ə
peijido	p eɪ dʒ iː d əʊ
peijie	p eɪ dʒ i
peinteureul	p eɪ n t j uː ɹ uː l
peiseubugannyeonghaseyorago	p aɪ z j uː b j uː ɡ ɐ n j əʊ ŋ h eɪ s j ɔː ɹ eɪ ɡ əʊ
peiseubuk	p aɪ z j uː b ʌ k
peiseubukgwa	p aɪ z j uː b ʌ k ɡ w ə
pelripe	p ɛ l ɹ aɪ p
peminijeumi	p ɛ m ɪ n aɪ dʒ j uː m i
peminijeumui	p ɛ m ɪ n aɪ dʒ j uː m j uː i
penikiae	p ɛ n ɪ k ɪ iː
peobeulrisyeo	p ɪ əʊ b ə l ɹ ɪ s ɪ eɪ əʊ
peobueotdamyeo	p ɪ ɒ b j uː ɒ t d ɐ m ɪ eɪ əʊ
peojigo	p ɪ ɒ dʒ ɪ ɡ əʊ
peojyeo	p ɪ ɒ dʒ ɪ eɪ əʊ
peojyeonagatgo	p ɪ ɒ dʒ j əʊ n ɐ ɡ a t ɡ əʊ
peojyeosseumyeon	p ɪ ɒ dʒ j əʊ s j uː m j əʊ n
peojyeotgo	p ɪ ə dʒ j əʊ t ɡ əʊ
peolreogyeotda	p ɪ ɒ l ɹ ɪ ɒ dʒ j əʊ t d ə
peompeu	p ɪ ɒ m p j uː
peosenteu	p ɪ əʊ s ə n t j uː
peosenteuda	p ɪ əʊ s ə n t j uː d ə
peosenteudaeda	p ɪ əʊ s ə n t j uː d iː d ə
peosenteudaereul	p ɪ əʊ s ə n t j uː d eə ɹ uː l
peosenteudo	p ɪ əʊ s ə n t j uː d əʊ
peosenteue	p ɪ əʊ s ə n t j uː
peosenteueseo	p ɪ əʊ s ə n t j uː ɪ s eɪ əʊ
peosenteuga	p ɪ əʊ s ə n t j uː ɡ ə
peosenteugaryang	p ɪ əʊ s ə n t j uː ɡ ɑː j a ŋ
peosenteugaryangeul	p ɪ əʊ s ə n t j uː ɡ ɑː j a ŋ j uː l
peosenteuin	p ɪ əʊ s ə n t j uː ɪ n
peosenteukkaji	p ɪ əʊ s ə n t j uː k a dʒ i
peosenteuna	p ɪ əʊ s ə n t j uː n ə
peosenteuneun	p ɪ əʊ s ə n t j uː n j uː n
peosenteupointeu	p ɪ əʊ s ə n t j uː p ɔɪ n t j uː
peosenteupointeuman	p ɪ əʊ s ə n t j uː p ɔɪ n t j uː m ə n
peosenteureul	p ɪ əʊ s ə n t j uː ɹ uː l
peosenteuro	p ɪ əʊ s ə n t j uː ɹ əʊ
peosenteussik	p ɪ əʊ s ə n t j uː s ɪ k
peosenteuui	p ɪ əʊ s ə n t j uː j uː i
peosenteuyeotdeon	p ɪ əʊ s ə n t j uː j əʊ t d ɪ ə n
peoseuteu	p ɪ əʊ s j uː t j uː
peotteuryeotdago	p ɪ ɒ t j uː r j əʊ t d eɪ ɡ əʊ
peseuteoringeul	p ɛ s j uː t ɪ ɔː ɹ ɪ n dʒ j uː l
peulraekadeudeulgwa	p j uː l ɹ iː k a d j uː d j uː l ɡ w ə
peulraekadeureul	p j uː l ɹ iː k a d j uː ɹ uː l
peulraenaegeoneun	p j uː l ɹ iː n iː dʒ ə n j uː n
peulraenitgeukjeok	p j uː l ɹ iː n ɪ t dʒ j uː k dʒ ɪ ɒ k
peulraetpomeuro	p j uː l ɹ iː t p əʊ m j uː ɹ əʊ
peulraiteu	p j uː l ɹ eɪ t j uː
peulrajaneun	p j uː l ɹ ɐ dʒ a n j uː n
peulrajeumaga	p j uː l ɹ ɐ dʒ j uː m ɑː ɡ ə
peulraseutik	p j uː l ɹ ɐ z j uː t ɪ k
peulreiseuga	p j uː l ɹ aɪ z j uː ɡ ə
peulreoseu	p j uː l ɹ ɪ əʊ s uː
peulreoseubuteo	p j uː l ɹ ɪ əʊ s j uː b j uː t eɪ əʊ
peulroraga	p j uː l ɹ ɔː ɹ ɑː ɡ ə
peuraenchaijeu	p j uː ɹ iː n tʃ eɪ dʒ j uː
peuraensineul	p j uː ɹ iː n s aɪ n ʌ l
peuraimeeo	p j uː ɹ eɪ m iː əʊ
peurangseu	p j uː ɹ ɐ ŋ s j uː
peurangseue	p j uː ɹ ɐ ŋ s j uː
peureimeul	p j uː ɹ eɪ m j uː l
peureimui	p j uː ɹ eɪ m j uː i
peuri	p j uː ɹ i
peuridaibinggyeui	p j uː ɹ ɪ d eɪ b ɪ ŋ dʒ ɪ j uː i
peurimieom	p j uː ɹ ɪ m ɪ ə m
peurimieomgeup	p j uː ɹ ɪ m ɪ ə m dʒ j uː p
peuriraenseoro	p j uː ɹ ə ɹ iː n s ɪ ɔː ɹ əʊ
peuro	p j uː ɹ əʊ
peurodyusingeul	p j uː ɹ ə d j uː s ɪ n dʒ j uː l
peurogeuraem	p j uː ɹ əʊ dʒ j uː ɹ iː m
peurogeuraeme	p j uː ɹ əʊ dʒ j uː ɹ iː m
peurogeuraemeul	p j uː ɹ əʊ dʒ j uː ɹ iː m j uː l
peurogeuraemida	p j uː ɹ əʊ dʒ j uː ɹ iː m ɪ d ə
peurogeuraemui	p j uː ɹ əʊ dʒ j uː ɹ iː m j uː i
peurojekteue	p j uː ɹ əʊ dʒ k t j uː
peurojekteuro	p j uː ɹ əʊ dʒ k t j uː ɹ əʊ
peutolremaioseuneun	p j uː t ə l ɹ ɛ m eɪ əʊ s ə n j uː n
pibu	p ɪ b uː
pibuameul	p ɪ b j uː a m j uː l
pibue	p ɪ b j uː
pibugwanrina	p ɪ b ə ɡ w ɐ n ɹ iː n ə
pibujilhwan	p ɪ b j uː dʒ ɪ l h w ə n
pibujilhwaneul	p ɪ b j uː dʒ ɪ l h w eɪ n ʌ l
pibureul	p ɪ b j ʊə ɹ uː l
pibuui	p ɪ b uː i
pideubaegi	p aɪ d j uː b iː ɡ ɪ
pie	p aɪ
pieo	p iː əʊ
pieonan	p iː əʊ n ə n
pigeomsa	p ɪ dʒ ə m s ə
pigeumijok	p aɪ dʒ j uː m ɪ dʒ ɒ k
pigoin	p ɪ ɡ ɔɪ n
pigoindeurege	p ɪ ɡ ɔɪ n d j uː ɹ ɛ dʒ
pigoineun	p ɪ ɡ ɔɪ n j uː n
pigoini	p ɪ ɡ ɔɪ n i
pigoinui	p ɪ ɡ ɔɪ n j uː i
pigonhamyeonseo	p ɪ ɡ ə n h a m j əʊ n s eɪ əʊ
pigonhan	p ɪ ɡ ɒ n h ə n
pihae	p ɪ h iː
pihaeaek	p ɪ h iə ɹ ɛ k
pihaebosanggeumeul	p ɪ h iː b ɒ s ɐ ŋ dʒ j uː m j uː l
pihaedo	p ɪ h iː d əʊ
pihaega	p ɪ h iː ɡ ə
pihaegeum	p ɪ h iː dʒ iː ə m
pihaeguje	p ɪ h iː ɡ j uː dʒ
pihaeja	p ɪ h iː dʒ ə
pihaejadeure	p ɪ h iː dʒ a d j uː ɹ ə
pihaejae	p ɪ h iː j iː
pihaejaga	p ɪ h iː dʒ ɑː ɡ ə
pihaejain	p ɪ h iː dʒ eɪ n
pihaejaman	p ɪ h iː dʒ a m ə n
pihaejaneun	p ɪ h iː dʒ a n j uː n
pihaejaraneun	p ɪ h iː dʒ a ɹ ə n ʌ n
pihaejareul	p ɪ h iː dʒ eə ɹ ʌ l
pihaejaro	p ɪ h iː dʒ a ɹ əʊ
pihaejawa	p ɪ h iː dʒ ɑː w ə
pihaemajeo	p ɪ h iː m eɪ dʒ ɪ əʊ
pihaereul	p ɪ h eə ɹ uː l
pihaeseoda	p ɪ h iː s ɪ əʊ d ə
pihaeya	p ɪ h iː j ə
pihaeyagetdago	p ɪ h iː j a ɡ ɪ t d eɪ ɡ əʊ
pihagineun	p ɪ h ɐ dʒ ɪ n j uː n
pihal	p ɪ h əl
pijinjeongineuro	p ɪ dʒ ɪ n dʒ ɪ ɒ ŋ ɡ ɪ n j uː ɹ əʊ
pijomuri	p ɪ dʒ ə m j ʊə ɹ i
pikeseul	p aɪ k s j uː l
pilgeurimeuro	p ɪ l dʒ j uː ɹ aɪ m j uː ɹ əʊ
piljadeureun	p ɪ l dʒ ɐ d j uː ɹ uː n
piljaneun	p ɪ l dʒ ɐ n j uː n
pilreona	p ɪ l ɹ ɪ əʊ n ə
pilripin	p ɪ l ɹ ɪ p ɪ n
pilripine	p ɪ l ɹ ɪ p aɪ n
pilripineseo	p ɪ l ɹ ɪ p aɪ n s eɪ əʊ
pilsabon	p ɪ l s a b ə n
pilsajeogeuro	p ɪ l s eɪ dʒ əʊ dʒ j uː ɹ əʊ
pilsu	p ɪ l s uː
pilsugwamogeuro	p ɪ l s ə ɡ w a m əʊ dʒ j uː ɹ əʊ
pilsujeogeuro	p ɪ l s uː dʒ ɪ əʊ dʒ j uː ɹ əʊ
pilteoringi	p ɪ l t ɪ ɔː ɹ ɪ ŋ ɡ i
pimajabage	p ɪ m ɐ dʒ a b ɪ dʒ
pinanmingwa	p ɪ n ɐ n m ɪ ŋ w ə
pinggyero	p ɪ ŋ dʒ ɪ eə ɹ əʊ
pingkeu	p ɪ ŋ k j uː
pinrandeu	p ɪ n ɹ ɐ n d j uː
pinrandeueoro	p ɪ n ɹ ɐ n d j uː ɪ ɔː ɹ əʊ
pireul	p aɪə ɹ ʌ l
piro	p aɪ ɹ əʊ
piroga	p ɪ ɹ əʊ ɡ ə
pirowa	p ɪ ɹ əʊ ə
piryeokhan	p ɜː j əʊ k h ə n
piryeonjeogeuro	p ɜː j əʊ n dʒ ɪ əʊ dʒ j uː ɹ əʊ
piryo	p ɜː ɹ ɪ əʊ
piryodo	p ɜː ɹ ɪ əʊ d əʊ
piryoe	p ɜː ɹ ɪ əʊ
piryoga	p ɜː ɹ ɪ əʊ ɡ ə
piryohada	p ɜː ɹ ɪ əʊ h ɑː d ə
piryohadago	p ɜː ɹ ɪ əʊ h ɐ d eɪ ɡ əʊ
piryohadagodeul	p ɜː ɹ ɪ əʊ h ɐ d a ɡ əʊ d ʌ l
piryohadaneun	p ɜː ɹ ɪ əʊ h ɐ d a n j uː n
piryohae	p ɜː ɹ ɪ əʊ h iː
piryohaetjiman	p ɜː ɹ ɪ əʊ h iː t dʒ ɪ m ə n
piryohaetneunde	p ɜː ɹ ɪ əʊ h iː t n j uː n d
piryohage	p ɜː ɹ ɪ əʊ h ɪ dʒ
piryohagetjiman	p ɜː ɹ ɪ əʊ h ɐ ɡ ɛ t dʒ ɪ m ə n
piryohal	p ɜː ɹ ɪ əʊ h əl
piryohan	p ɜː ɹ ɪ əʊ h a n
piryoneun	p ɜː ɹ ɪ əʊ n ʌ n
piryoreul	p ɜː ɹ ɪ ɔː ɹ uː l
piryoseongeul	p ɜː ɹ ɪ əʊ s ɪ ɒ n dʒ j uː l
piryoseonggwa	p ɜː ɹ ɪ əʊ s ɪ ɒ ŋ ɡ w ə
piryoseongi	p ɜː ɹ ɪ əʊ s ɪ ɒ ŋ ɡ i
piryosi	p ɜː ɹ ɪ əʊ s i
pisaldoemyeonseo	p ɪ z ɐ l d əʊ m j əʊ n s eɪ əʊ
pisareun	p ɪ s eə ɹ ʌ n
piseogaegi	p aɪ s ə ɡ iː ɡ ɪ
piseogaekdeuri	p aɪ s ə ɡ iː k d j uː ɹ i
piugo	p ɪ j uː ɡ əʊ
piugodo	p ɪ j uː ɡ əʊ d əʊ
piuija	p ɪ j uː ɪ dʒ ə
piuijadeulhago	p ɪ j uː ɪ dʒ ɐ d j uː l h eɪ ɡ əʊ
