-o	ɔ
quebrassem	k e b ɹ a s eɪ ŋ
quebrava	k e b ɹ a v ɐ
quebravam	k e b ɹ a v ɐ̃ʊ̃
quebre	k e b ɹ ɨ
quebrei	k ɨ b ɹ eɪ
quebrem	k e b ɹ eɪ ŋ
quebres	k e b ɹ ɨ ʃ
quebro	k e b ɹ ʊ
quebrou	k ɨ b ɹ o w
quebrou-se	k ɨ b ɹ o w s ɨ
quebrouihe	k e b ɹ u w i ɨ
quebráraõ	k e b ɹ a ɾ ɐ õ
quechã	k ɨ ʃ ɐ̃
queda	k ɛ d ɐ
quedais	k ɨ d aɪ ʃ
quedamos	k e d ɐ̃ m ʊ ʃ
quedando	k e d ɐ̃ ŋ d ʊ
quedar	k ɨ d a ɹ
quedara	k e d a ɾ ɐ
quedarem	k e d a ɾ eɪ ŋ
quedas	k ɛ d ɐ ʃ
quedava	k e d a v ɐ
quedava-se	k e d a v ɐ s ɨ
quedavam	k e d a v ɐ̃ʊ̃
quedo	k e d ʊ
quedorlaomer	k e d u ɾ ə l ɐ u m e ɹ
quedos	k e d ʊ ʃ
quedou	k ɨ d o w
quedou-se	k ɨ d o w s ɨ
quedê	k ɨ d e
queexerceu	k e ɨ k s ɨ ɾ ə s eʊ
queftão	k ɨ f t ɐ̃ʊ̃
queftões	k ɨ f t õ j ʃ
queijo	k eɪ ʒ ʊ
queijos	k eɪ ʒ ʊ ʃ
queima	k eɪ m ɐ
queima-roupa	k eɪ m ɐ ʁ o w p ɐ
queimada	k eɪ m a d ɐ
queimadas	k eɪ m a d ɐ ʃ
queimadero	k eɪ m ɐ d ɛ ɾ ʊ
queimadinho	k eɪ m ɐ d i ɲ ʊ
queimado	k eɪ m a d ʊ
queimados	k eɪ m a d ʊ ʃ
queimadura	k eɪ m ɐ d u ɾ ɐ
queimaduras	k eɪ m ɐ d u ɾ ɐ ʃ
queimai	k eɪ m aɪ
queimal	k eɪ m ɑ l
queimalo	k eɪ m a l ʊ
queimam	k eɪ m ɐ̃ʊ̃
queimando	k eɪ m ɐ̃ ŋ d ʊ
queimar	k eɪ m ɐ ɹ
queimara	k eɪ m a ɾ ɐ
queimaram	k eɪ m a ɾ ɐ̃ʊ̃
queimaras	k eɪ m a ɾ ɐ ʃ
queimaria	k eɪ m ɐ ɾ i ɐ
queimas	k eɪ m ɐ ʃ
queimasse	k eɪ m a s ɨ
queimava	k eɪ m a v ɐ
queimavam	k eɪ m a v ɐ̃ʊ̃
queime	k eɪ m ɨ
queimei	k eɪ m eɪ
queimosos	k eɪ m ɔ z ʊ ʃ
queimou	k eɪ m u w
queimá	k eɪ m a
queimára	k eɪ m a ɾ ɐ
queira	k eɪ ɾ ɐ
queirais	k eɪ ɾ aɪ ʃ
queiram	k eɪ ɾ ɐ̃ʊ̃
queiras	k eɪ ɾ ɐ ʃ
queiroz	k eɪ ɾ ɔ ʃ
queirós	k eɪ ɾ ɔ ʃ
queixa	k eɪ ʃ ɐ
queixada	k eɪ ʃ a d ɐ
queixadas	k eɪ ʃ a d ɐ ʃ
queixado	k eɪ ʃ a d ʊ
queixais	k eɪ ʃ aɪ ʃ
queixal	k eɪ ʃ ɑ l
queixando	k eɪ ʃ ɐ̃ ŋ d ʊ
queixando-se	k eɪ ʃ ɐ̃ ŋ d ʊ s ɨ
queixar	k eɪ ʃ ɐ ɹ
queixar-me	k eɪ ʃ ɐ ɹ m ɨ
queixar-se	k eɪ ʃ ɐ ɹ s ɨ
queixara	k eɪ ʃ a ɾ ɐ
queixarei	k eɪ ʃ ɐ ɾ eɪ
queixarem	k eɪ ʃ a ɾ eɪ ŋ
queixas	k eɪ ʃ ɐ ʃ
queixasse	k eɪ ʃ a s ɨ
queixassem	k eɪ ʃ a s eɪ ŋ
queixava	k eɪ ʃ a v ɐ
queixava-se	k eɪ ʃ a v ɐ s ɨ
queixavam	k eɪ ʃ a v ɐ̃ʊ̃
queixavase	k eɪ ʃ ɐ v a z ɨ
queixavão	k eɪ ʃ ɐ v ɐ̃ʊ̃
queixe	k eɪ ʃ ɨ
queixei	k eɪ ʃ eɪ
queixo	k eɪ ʃ ʊ
queixos	k eɪ ʃ ʊ ʃ
queixosa	k eɪ ʃ ɔ z ɐ
queixosas	k eɪ ʃ ɔ z ɐ ʃ
queixoso	k eɪ ʃ o z ʊ
queixosos	k eɪ ʃ ɔ z ʊ ʃ
queixou	k eɪ ʃ u w
queixou-se	k eɪ ʃ u w s ɨ
queixume	k eɪ ʃ u m ɨ
queixumes	k eɪ ʃ u m ɨ ʃ
quejandas	k e ʒ ɐ̃ ŋ d ɐ ʃ
quejando	k e ʒ ɐ̃ ŋ d ʊ
quejandos	k e ʒ ɐ̃ ŋ d ʊ ʃ
quel	k e l
quelha	k e ʎ ɐ
queluctasse	k e l u t a s ɨ
quelônio	k e l o n j ʊ
quem	k e m
quencia	k e n s i ɐ
quente	k e n t ɨ
quentes	k e n t ɨ ʃ
quentinho	k e n t i ɲ ʊ
quentura	k e n t u ɾ ɐ
quenã	k ɨ n ɐ̃
queo	k e ʊ
quer	k ɛ ɹ
quer-me	k ɛ ɹ m ɨ
quer-se	k ɛ ɹ s ɨ
queraes	k e ɾ a ɨ ʃ
quereis	k ɨ ɾ eɪ ʃ
querela	k e ɾ ɛ l ɐ
querem	k e ɾ eɪ ŋ
queremos	k e ɾ e m ʊ ʃ
querendo	k e ɾ eɪ ŋ d ʊ
querendo-se	k e ɾ eɪ ŋ d ʊ s ɨ
querer	k ɨ ɾ e ɹ
quererdes	k e ɾ e ɾ ə d ɨ ʃ
quererem	k e ɾ e ɾ eɪ ŋ
quereria	k e ɾ ɨ ɾ i ɐ
quereriam	k e ɾ ɨ ɾ i ɐ̃ʊ̃
quererá	k e ɾ ɨ ɾ a
quererás	k e ɾ ɨ ɾ a ʃ
quererão	k e ɾ ɨ ɾ ɐ̃ʊ̃
queres	k e ɾ ɨ ʃ
queria	k e ɾ i ɐ
queria-lhe	k e ɾ i ɐ ʎ ɨ
queria-o	k e ɾ i ɐ ɔ
queriam	k e ɾ i ɐ̃ʊ̃
querias	k e ɾ i ɐ ʃ
querida	k e ɾ i d ɐ
queridas	k e ɾ i d ɐ ʃ
querido	k e ɾ i d ʊ
queridos	k e ɾ i d ʊ ʃ
querieis	k e ɾ i eɪ ʃ
querimento	k e ɾ i m eɪ ŋ t ʊ
querite	k e ɾ i t ɨ
querião	k e ɾ i ɐ̃ʊ̃
quermesse	k e ɾ ə m e s ɨ
quero	k e ɾ ʊ
quero-te	k e ɾ ʊ t ɨ
querosene	k e ɾ u z e n ɨ
querubim	k e ɾ u b i ŋ
querê	k ɨ ɾ e
queríamos	k e ɾ i ɐ m ʊ ʃ
quest'anno	k e ʃ t ɐ̃ ŋ n ʊ
questiono	k e ʃ t i o n ʊ
questo	k e ʃ t ʊ
questou	k ɨ ʃ t o w
questão	k ɨ ʃ t ɐ̃ʊ̃
questões	k ɨ ʃ t õ j ʃ
queu	k ɨ u
qui	k i
quiandala	k i ɐ̃ ŋ d a l ɐ
quiar	k i a ɹ
quibir	k i b i ɹ
quid	k i d
quieta	k i ɛ t ɐ
quietarão	k i ɨ t ɐ ɾ ɐ̃ʊ̃
quietas	k i ɛ t ɐ ʃ
quietação	k i ɨ t ɐ s ɐ̃ʊ̃
quietinha	k i ɨ t i ɲ ɐ
quietinho	k i ɨ t i ɲ ʊ
quietinhos	k i ɨ t i ɲ ʊ ʃ
quietismo	k i ɨ t i ʒ m ʊ
quieto	k i ɛ t ʊ
quietos	k i ɛ t ʊ ʃ
quietude	k i ɨ t u d ɨ
quietudes	k i ɨ t u d ɨ ʃ
quilate	k i l a t ɨ
quilates	k i l a t ɨ ʃ
quilha	k i ʎ ɐ
quilhas	k i ʎ ɐ ʃ
quilo	k i l ʊ
quilogramas	k i l u ɡ ɹ ɐ̃ m ɐ ʃ
quilombola	k i l u m b ɔ l ɐ
quilombos	k i l o m b ʊ ʃ
quilometragens	k i l u m ɨ t ɹ a ʒ eɪ ŋ ʃ
quilométrica	k i l u m ɛ t ɹ i k ɐ
quilos	k i l ʊ ʃ
quilotava	k i l u t a v ɐ
quilómetro	k i l ɔ m ɨ t ɹ ʊ
quilômetro	k i l o m ɨ t ɹ ʊ
quilômetros	k i l o m ɨ t ɹ ʊ ʃ
quimera	k i m ɛ ɾ ɐ
quimeras	k i m ɛ ɾ ɐ ʃ
quimicamente	k i m i k ɐ m eɪ ŋ t ɨ
quimiotaxia	k i m i u t ɐ k s i ɐ
quimiotropismo	k i m i u t ɹ u p i ʒ m ʊ
quimporta	k i m p ɔ ɾ ə t ɐ
quimérica	k i m ɛ ɾ i k ɐ
quimérico	k i m ɛ ɾ i k ʊ
quiméricos	k i m ɛ ɾ i k ʊ ʃ
quina	k i n ɐ
quinado	k i n a d ʊ
quinas	k i n ɐ ʃ
quinau	k i n aʊ
quinaus	k i n aʊ ʃ
quincas	k i n k ɐ ʃ
quinda	k i n d ɐ
quindingues	k i n d i ŋ ɡ w ɨ ʃ
quinhentas	k i ɲ eɪ ŋ t ɐ ʃ
quinhentos	k i ɲ eɪ ŋ t ʊ ʃ
quinhoeiro	k i ɲ u eɪ ɾ ʊ
quinhoneiro	k i ɲ u n eɪ ɾ ʊ
quinhão	k i ɲ ɐ̃ʊ̃
quiniela	k i n i ɛ l ɐ
quinino	k i n i n ʊ
quino	k i n ʊ
quinota	k i n ɔ t ɐ
quinquilharia	k i n k i ʎ ɐ ɾ i ɐ
quinquilharias	k i n k i ʎ ɐ ɾ i ɐ ʃ
quinquim	k i n k i m
quinta	k i n t ɐ
quinta-feira	k i n t ɐ f eɪ ɾ ɐ
quintaes	k i n t a ɨ ʃ
quintais	k i n t aɪ ʃ
quintal	k i n t ɑ l
quintanilha	k i n t ɐ n i ʎ ɐ
quintas	k i n t ɐ ʃ
quintas-feiras	k i n t ɐ ʃ f eɪ ɾ ɐ ʃ
quintazinha	k i n t ɐ z i ɲ ɐ
quinteiro	k i n t eɪ ɾ ʊ
quintella	k i n t ɛ l ɐ
quintellas	k i n t ɛ l ɐ ʃ
quintino	k i n t i n ʊ
quinto	k i n t ʊ
quintos	k i n t ʊ ʃ
quinze	k i n z ɨ
quinzena	k i n z e n ɐ
quinzenarios	k i n z ɨ n ɐ ɾ iʊ ʃ
quináo	k i n a ʊ
quiosque	k i o ʃ k ɨ
quiosques	k i o ʃ k ɨ ʃ
quipás	k i p a ʃ
quirido	k i ɾ i d ʊ
quirinquinquá	k i ɾ i ŋ k i n k w a
quirub	k i ɾ u b
quis	k i ʃ
quis-lhe	k i ʒ ʎ ɨ
quisemos	k i z e m ʊ ʃ
quiser	k i z ɛ ɹ
quisera	k i z ɛ ɾ ɐ
quiseram	k i z ɛ ɾ ɐ̃ʊ̃
quiserdes	k i z ɛ ɾ ə d ɨ ʃ
quisereis	k i z ɨ ɾ eɪ ʃ
quiserem	k i z ɛ ɾ eɪ ŋ
quiseres	k i z ɛ ɾ ɨ ʃ
quisermos	k i z ɛ ɾ ə m ʊ ʃ
quisesse	k i z ɛ s ɨ
quisessem	k i z ɛ s eɪ ŋ
quiseste	k i z ɛ ʃ t ɨ
quisestes	k i z ɛ ʃ t ɨ ʃ
quisleu	k i ʒ l eʊ
quista	k i ʃ t ɐ
quistos	k i ʃ t ʊ ʃ
quiséra	k i z ɛ ɾ ɐ
quiséssemos	k i z ɛ s ɨ m ʊ ʃ
quitanda	k i t ɐ̃ ŋ d ɐ
quitandas	k i t ɐ̃ ŋ d ɐ ʃ
quitandeira	k i t ɐ̃ ŋ d eɪ ɾ ɐ
quitandeiras	k i t ɐ̃ ŋ d eɪ ɾ ɐ ʃ
quitandeiro	k i t ɐ̃ ŋ d eɪ ɾ ʊ
quitandeiros	k i t ɐ̃ ŋ d eɪ ɾ ʊ ʃ
quitandinha	k i t ɐ̃ ŋ d i ɲ ɐ
quitava	k i t a v ɐ
quitação	k i t ɐ s ɐ̃ʊ̃
quite	k i t ɨ
quites	k i t ɨ ʃ
quitim	k i t i ŋ
quitutes	k i t u t ɨ ʃ
quitéria	k i t ɛ ɾ j ɐ
quixaba	k i ʃ a b ɐ
quixabeira	k i ʃ ɐ b eɪ ɾ ɐ
quixabeiras	k i ʃ ɐ b eɪ ɾ ɐ ʃ
quixadá	k i ʃ ɐ d a
quixeramobim	k i ʃ ɨ ɾ ɐ m u b i ŋ
quixote	k i ʃ ɔ t ɨ
quiz	k i ʃ
quizemos	k i z e m ʊ ʃ
quizer	k i z e ɹ
quizera	k i z e ɾ ɐ
quizeram	k i z e ɾ ɐ̃ʊ̃
quizerem	k i z e ɾ eɪ ŋ
quizeres	k i z e ɾ ɨ ʃ
quizerão	k i z ɨ ɾ ɐ̃ʊ̃
quizesse	k i z ɛ s ɨ
quizessem	k i z ɛ s eɪ ŋ
quizeste	k i z ɛ ʃ t ɨ
quizeífe	k i z ɨ i f ɨ
quizéra	k i z ɛ ɾ ɐ
quizília	k i z i l j ɐ
quiçá	k i s a
quiéta	k i ɛ t ɐ
quo	k u o
quociente	k u u s i eɪ ŋ t ɨ
quorum	k u u ɾ ũ ŋ
quota	k u o t ɐ
quotidiana	k u u t i d i ɐ̃ n ɐ
quotidianamente	k u u t i d i ɐ n ɐ m eɪ ŋ t ɨ
quotidianas	k u u t i d i ɐ̃ n ɐ ʃ
quotidiano	k u u t i d i ɐ̃ n ʊ
quotidianos	k u u t i d i ɐ̃ n ʊ ʃ
quá	k w a
quási	k w a z i
quão	k w ɐ̃ʊ̃
qué	k ɛ
quécer	k ɛ s ɨ ɹ
quéda	k ɛ d ɐ
quédas	k ɛ d ɐ ʃ
quê	k e
quês	k e ʃ
quíchua	k i ʃ u ɐ
química	k i m i k ɐ
químicas	k i m i k ɐ ʃ
químico	k i m i k ʊ
químicos	k i m i k ʊ ʃ
quíz	k i ʃ
quórenta	k w ɔ ɾ ɨ n t ɐ
qw	k e d ɐ b l i u
qíieni	k i i e n i
qúe	k u ɨ
qúentando	k u eɪ ŋ t ɐ̃ ŋ d ʊ
qüen	k w eɪ ŋ
qüinquagenário	k w i ŋ k w ɐ ʒ ɨ n a ɾ j ʊ
qüinqüênio	k w i ŋ k w e n j ʊ
qüência	k w eɪ ŋ s j ɐ
r	ɛ r r
ra	ʁ ɐ
raais	ʁ ɐ aɪ ʃ
raantença	ʁ ɐ ɐ̃ ŋ t eɪ ŋ s ɐ
raatto	ʁ ɐ a t ʊ
rabanada	ʁ ɐ b ɐ n a d ɐ
rabanetes	ʁ ɐ b ɐ n e t ɨ ʃ
rabbi	ʁ ɐ b i
rabeca	ʁ ɐ b ɛ k ɐ
rabecas	ʁ ɐ b ɛ k ɐ ʃ
rabelaisiana	ʁ ɐ b ɨ l aɪ z i ɐ̃ n ɐ
rabequinha	ʁ ɐ b ɨ k i ɲ ɐ
rabi	ʁ ɐ b i
rabiavam	ʁ ɐ b i a v ɐ̃ʊ̃
rabicho	ʁ ɐ b i ʃ ʊ
rabiosa	ʁ ɐ b i ɔ z ɐ
rabis	ʁ ɐ b i ʃ
rabiscada	ʁ ɐ b i ʃ k a d ɐ
rabiscadas	ʁ ɐ b i ʃ k a d ɐ ʃ
rabiscado	ʁ ɐ b i ʃ k a d ʊ
rabiscando	ʁ ɐ b i ʃ k ɐ̃ ŋ d ʊ
rabiscar	ʁ ɐ b i ʃ k a ɹ
rabiscara	ʁ ɐ b i ʃ k a ɾ ɐ
rabisco	ʁ ɐ b i ʃ k ʊ
rabisáca	ʁ ɐ b i z a k ɐ
rabo	ʁ a b ʊ
rabona	ʁ ɐ b o n ɐ
rabos	ʁ a b ʊ ʃ
rabudo	ʁ ɐ b u d ʊ
rabugem	ʁ ɐ b u ʒ eɪ ŋ
rabugens	ʁ ɐ b u ʒ eɪ ŋ ʃ
rabujar	ʁ ɐ b u ʒ a ɹ
rabujento	ʁ ɐ b u ʒ eɪ ŋ t ʊ
racati	ʁ ɐ k ɐ t i
racca	ʁ a k ɐ
racha	ʁ a ʃ ɐ
rachada	ʁ ɐ ʃ a d ɐ
rachadas	ʁ ɐ ʃ a d ɐ ʃ
rachado	ʁ ɐ ʃ a d ʊ
rachados	ʁ ɐ ʃ a d ʊ ʃ
rachando	ʁ ɐ ʃ ɐ̃ ŋ d ʊ
rachar	ʁ ɐ ʃ a ɹ
rachara	ʁ ɐ ʃ a ɾ ɐ
racharia	ʁ ɐ ʃ ɐ ɾ i ɐ
rachassem	ʁ ɐ ʃ a s eɪ ŋ
rachava	ʁ ɐ ʃ a v ɐ
rachel	ʁ ɐ ʃ ɛ l
rachiticas	ʁ ɐ ʃ i t i k ɐ ʃ
racho	ʁ a ʃ ʊ
rachá	ʁ ɐ ʃ a
racine	ʁ ɐ s i n ɨ
raciocina	ʁ ɐ s i u s i n ɐ
raciocinam	ʁ ɐ s i u s i n ɐ̃ʊ̃
raciocinar	ʁ ɐ s i u s i n a ɹ
raciocinase	ʁ ɐ s i u s i n a z ɨ
raciocinava	ʁ ɐ s i u s i n a v ɐ
raciocinei	ʁ ɐ s i u s i n eɪ
raciocinio	ʁ ɐ s i u s i n iʊ
raciocinou	ʁ ɐ s i u s i n o w
raciocínio	ʁ ɐ s i u s i n j ʊ
raciocínios	ʁ ɐ s i u s i n j ʊ ʃ
racional	ʁ ɐ s i u n ɑ l
racionalidade	ʁ ɐ s i u n ɐ l i d a d ɨ
racionalmente	ʁ ɐ s i u n ɑ l m eɪ ŋ t ɨ
raclame	ʁ ɐ k l ɐ̃ m ɨ
rada	ʁ a d ɐ
radia	ʁ ɐ d i ɐ
radial	ʁ ɐ d i ɑ l
radiando	ʁ ɐ d i ɐ̃ ŋ d ʊ
radiante	ʁ ɐ d i ɐ̃ ŋ t ɨ
radiantemente	ʁ ɐ d i ɐ̃ ŋ t ɨ m eɪ ŋ t ɨ
radiantes	ʁ ɐ d i ɐ̃ ŋ t ɨ ʃ
radiar	ʁ ɐ d i a ɹ
radiava	ʁ ɐ d i a v ɐ
radicaes	ʁ ɐ d i k a ɨ ʃ
radicais	ʁ ɐ d i k aɪ ʃ
radical	ʁ ɐ d i k ɑ l
radicalmente	ʁ ɐ d i k ɑ l m eɪ ŋ t ɨ
radicou	ʁ ɐ d i k o w
radio	ʁ ɐ d iʊ
radioativo	ʁ ɐ d i u ɐ t i v ʊ
radiolar	ʁ ɐ d i u l a ɹ
radiosa	ʁ ɐ d i ɔ z ɐ
radiosas	ʁ ɐ d i ɔ z ɐ ʃ
radioso	ʁ ɐ d i o z ʊ
radiância	ʁ ɐ d j ɐ̃ ŋ s j ɐ
radiâncias	ʁ ɐ d j ɐ̃ ŋ s j ɐ ʃ
rado	ʁ a d ʊ
radículas	ʁ ɐ d i k u l ɐ ʃ
rae	ʁ a ɨ
rafadas	ʁ ɐ f a d ɐ ʃ
rafael	ʁ ɐ f ɐ ɛ l
rafeira	ʁ ɐ f eɪ ɾ ɐ
rafeiro	ʁ ɐ f eɪ ɾ ʊ
rafeiros	ʁ ɐ f eɪ ɾ ʊ ʃ
raft	ʁ a f t
rai	ʁ aɪ
raia	ʁ aɪ ɐ
raiada	ʁ aɪ a d ɐ
raiando	ʁ aɪ ɐ̃ ŋ d ʊ
raiar	ʁ aɪ a ɹ
raiará	ʁ aɪ ɐ ɾ a
raias	ʁ aɪ ɐ ʃ
raiava	ʁ aɪ a v ɐ
railroadmen	ʁ ɐ i l ʁ u a d m eɪ ŋ
railway	ʁ ɐ i l w aɪ
raimondi	ʁ aɪ m u ŋ d i
raimundinho	ʁ aɪ m ũ ŋ d i ɲ ʊ
raimundo	ʁ aɪ m ũ ŋ d ʊ
rainha	ʁ ɐ i ɲ ɐ
rainhas	ʁ ɐ i ɲ ɐ ʃ
rainúnculos	ʁ aɪ n ũ ŋ k u l ʊ ʃ
raio	ʁ aɪ ʊ
raios	ʁ aɪ ʊ ʃ
raiou	ʁ aɪ o w
raiva	ʁ aɪ v ɐ
raivam	ʁ aɪ v ɐ̃ʊ̃
raivando	ʁ aɪ v ɐ̃ ŋ d ʊ
raivas	ʁ aɪ v ɐ ʃ
raivosa	ʁ aɪ v ɔ z ɐ
raivosamente	ʁ aɪ v u z ɐ m eɪ ŋ t ɨ
raivosas	ʁ aɪ v ɔ z ɐ ʃ
raivoso	ʁ aɪ v o z ʊ
raivosos	ʁ aɪ v ɔ z ʊ ʃ
raiz	ʁ ɐ i ʃ
raizes	ʁ aɪ z ɨ ʃ
rajada	ʁ ɐ ʒ a d ɐ
rajadas	ʁ ɐ ʒ a d ɐ ʃ
rajado	ʁ ɐ ʒ a d ʊ
rajados	ʁ ɐ ʒ a d ʊ ʃ
rajá	ʁ ɐ ʒ a
rajágria	ʁ ɐ ʒ a ɡ r j ɐ
rala	ʁ a l ɐ
ralada	ʁ ɐ l a d ɐ
ralado	ʁ ɐ l a d ʊ
ralados	ʁ ɐ l a d ʊ ʃ
ralando	ʁ ɐ l ɐ̃ ŋ d ʊ
ralar-me	ʁ ɐ l a ɹ m ɨ
ralas	ʁ a l ɐ ʃ
ralava	ʁ ɐ l a v ɐ
ralavam	ʁ ɐ l a v ɐ̃ʊ̃
rale	ʁ a l ɨ
rales	ʁ a l ɨ ʃ
ralha	ʁ a ʎ ɐ
ralha-me	ʁ a ʎ ɐ m ɨ
ralhando	ʁ ɐ ʎ ɐ̃ ŋ d ʊ
ralhar	ʁ ɐ ʎ a ɹ
ralhava	ʁ ɐ ʎ a v ɐ
ralhei	ʁ ɐ ʎ eɪ
ralhes	ʁ a ʎ ɨ ʃ
ralho	ʁ a ʎ ʊ
ralhos	ʁ a ʎ ʊ ʃ
ralhou	ʁ ɐ ʎ o w
ralo	ʁ a l ʊ
ralos	ʁ a l ʊ ʃ
ralé	ʁ ɐ l ɛ
rama	ʁ ɐ̃ m ɐ
ramada	ʁ ɐ m a d ɐ
ramadas	ʁ ɐ m a d ɐ ʃ
ramagem	ʁ ɐ m a ʒ eɪ ŋ
ramagens	ʁ ɐ m a ʒ eɪ ŋ ʃ
ramal	ʁ ɐ̃ m ɑ l
ramalham	ʁ ɐ m a ʎ ɐ̃ʊ̃
ramalhar	ʁ ɐ m ɐ ʎ a ɹ
ramalharam	ʁ ɐ m ɐ ʎ a ɾ ɐ̃ʊ̃
ramalhete	ʁ ɐ m ɐ ʎ e t ɨ
ramalheteira	ʁ ɐ m ɐ ʎ ɨ t eɪ ɾ ɐ
ramalhetes	ʁ ɐ m ɐ ʎ e t ɨ ʃ
ramalho	ʁ ɐ m a ʎ ʊ
ramalhos	ʁ ɐ m a ʎ ʊ ʃ
ramalhosos	ʁ ɐ m ɐ ʎ ɔ z ʊ ʃ
ramansadas	ʁ ɐ m ɐ̃ ŋ s a d ɐ ʃ
ramaria	ʁ ɐ m ɐ ɾ i ɐ
ramarias	ʁ ɐ m ɐ ɾ i ɐ ʃ
ramas	ʁ ɐ̃ m ɐ ʃ
ramata	ʁ ɐ m a t ɐ
ramela	ʁ ɐ m ɛ l ɐ
ramelosos	ʁ ɐ m ɨ l ɔ z ʊ ʃ
ramente	ʁ ɐ m eɪ ŋ t ɨ
ramentos	ʁ ɐ m eɪ ŋ t ʊ ʃ
ramificar	ʁ ɐ m i f i k a ɹ
ramificações	ʁ ɐ m i f i k ɐ s õ j ʃ
raminho	ʁ ɐ m i ɲ ʊ
raminhos	ʁ ɐ m i ɲ ʊ ʃ
raminiscências	ʁ ɐ m i n i s eɪ ŋ s j ɐ ʃ
ramiro	ʁ ɐ m i ɾ ʊ
ramlê	ʁ ɐ̃ m l e
ramo	ʁ ɐ̃ m ʊ
ramonda	ʁ ɐ m o ŋ d ɐ
ramos	ʁ ɐ̃ m ʊ ʃ
rampa	ʁ ɐ̃ m p ɐ
rampas	ʁ ɐ̃ m p ɐ ʃ
rampeada	ʁ ɐ̃ m p i a d ɐ
rampeiro	ʁ ɐ̃ m p eɪ ɾ ʊ
ramsés	ʁ ɐ̃ m s ɛ ʃ
ramá	ʁ ɐ̃ m a
rancharia	ʁ ɐ̃ ŋ ʃ ɐ ɾ i ɐ
rancharias	ʁ ɐ̃ ŋ ʃ ɐ ɾ i ɐ ʃ
rancho	ʁ ɐ̃ ŋ ʃ ʊ
ranchos	ʁ ɐ̃ ŋ ʃ ʊ ʃ
rancisco	ʁ ɐ̃ ŋ s i ʃ k ʊ
rancor	ʁ ɐ̃ ŋ k o ɹ
rancores	ʁ ɐ̃ ŋ k o ɾ ɨ ʃ
rancorosamente	ʁ ɐ̃ ŋ k u ɾ u z ɐ m eɪ ŋ t ɨ
rancorosas	ʁ ɐ̃ ŋ k u ɾ ɔ z ɐ ʃ
rancoroso	ʁ ɐ̃ ŋ k u ɾ o z ʊ
rancorosos	ʁ ɐ̃ ŋ k u ɾ ɔ z ʊ ʃ
randeza	ʁ ɐ̃ ŋ d e z ɐ
range	ʁ ɐ̃ ŋ ʒ ɨ
rangedora	ʁ ɐ̃ ŋ ʒ ɨ d o ɾ ɐ
rangeiro	ʁ ɐ̃ ŋ ʒ eɪ ɾ ʊ
rangel	ʁ ɐ̃ ŋ ʒ ɛ l
rangem	ʁ ɐ̃ ŋ ʒ eɪ ŋ
rangendo	ʁ ɐ̃ ŋ ʒ eɪ ŋ d ʊ
rangente	ʁ ɐ̃ ŋ ʒ eɪ ŋ t ɨ
ranger	ʁ ɐ̃ ŋ ʒ e ɹ
rangeram	ʁ ɐ̃ ŋ ʒ e ɾ ɐ̃ʊ̃
rangeu	ʁ ɐ̃ ŋ ʒ eʊ
rangia	ʁ ɐ̃ ŋ ʒ i ɐ
rangiam	ʁ ɐ̃ ŋ ʒ i ɐ̃ʊ̃
rangido	ʁ ɐ̃ ŋ ʒ i d ʊ
rangindo	ʁ ɐ̃ ŋ ʒ i ŋ d ʊ
rangiu	ʁ ɐ̃ ŋ ʒ iʊ
ranhosa	ʁ ɐ̃ ɲ ɔ z ɐ
ranram	ʁ ɐ̃ ŋ ʁ ɐ̃ʊ̃
rança	ʁ ɐ̃ ŋ s ɐ
rançosa	ʁ ɐ̃ ŋ s ɔ z ɐ
rançoso	ʁ ɐ̃ ŋ s o z ʊ
raostrou	ʁ ɐ u ʃ t ɹ o w
rapa	ʁ a p ɐ
rapacidade	ʁ ɐ p ɐ s i d a d ɨ
rapada	ʁ ɐ p a d ɐ
rapado	ʁ ɐ p a d ʊ
rapadura	ʁ ɐ p ɐ d u ɾ ɐ
rapagão	ʁ ɐ p ɐ ɡ ɐ̃ʊ̃
rapapés	ʁ ɐ p ɐ p ɛ ʃ
rapar	ʁ ɐ p a ɹ
rapariga	ʁ ɐ p ɐ ɾ i ɡ ɐ
raparigas	ʁ ɐ p ɐ ɾ i ɡ ɐ ʃ
raparigaça	ʁ ɐ p ɐ ɾ i ɡ a s ɐ
rapariguita	ʁ ɐ p ɐ ɾ i ɡ i t ɐ
rapavam	ʁ ɐ p a v ɐ̃ʊ̃
rapaz	ʁ ɐ p a ʃ
rapazes	ʁ ɐ p a z ɨ ʃ
rapaziada	ʁ ɐ p ɐ z i a d ɐ
rapazinho	ʁ ɐ p ɐ z i ɲ ʊ
rapazinhos	ʁ ɐ p ɐ z i ɲ ʊ ʃ
rapazito	ʁ ɐ p ɐ z i t ʊ
rapazitos	ʁ ɐ p ɐ z i t ʊ ʃ
rapazola	ʁ ɐ p ɐ z ɔ l ɐ
rapazote	ʁ ɐ p ɐ z ɔ t ɨ
rapi	ʁ ɐ p i
rapia	ʁ ɐ p i ɐ
rapida	ʁ ɐ p i d ɐ
rapidamente	ʁ ɐ p i d ɐ m eɪ ŋ t ɨ
rapidas	ʁ ɐ p i d ɐ ʃ
rapidez	ʁ ɐ p i d e ʃ
rapido	ʁ ɐ p i d ʊ
rapidos	ʁ ɐ p i d ʊ ʃ
rapina	ʁ ɐ p i n ɐ
rapinas	ʁ ɐ p i n ɐ ʃ
