'l	ɛ l l e
s'imparava	s i m p a ɾ a v a
s'impastavano	s i m p a s t a v a n o
s'impauriscono	s i m p a ʊ r i s k o n o
s'impazientiva	s i m p a ts j e n t i v a
s'impegna	s i m p e ɲ ɲ a
s'impegnò	s i m p e ɲ ɲ ɔ
s'impenna	s i m p ɛ n n a
s'impennò	s i m p e n n ɔ
s'impensierì	s i m p e n s i e r i
s'imperlavano	s i m p e r l a v a n o
s'impetri	s i m p ɛ t r ɪ
s'impettorì	s i m p e tː o r i
s'impiantava	s i m p j a n t a v a
s'impiantavano	s i m p j a n t a v a n o
s'impiccolivano	s i m p i kː o l i v a n o
s'impiegava	s i m p j e ɡ a v a
s'impiegavano	s i m p j e ɡ a v a n o
s'impiglia	s i m p i ʎ a
s'impingua	s i m p i ŋ ɡ w a
s'impinzan	s i m p i n ts a n
s'impola	s i m p o l a
s'impone	s i m p o n e
s'imponeva	s i m p o n ɛ v a
s'impongono	s i m p o ŋ ɡ o n o
s'imporporava	s i m p o r p o r a v a
s'impose	s i m p o z e
s'impossessò	s i m p o ss e ss ɔ
s'impostano	s i m p ɔ s t a n o
s'impostava	s i m p o s t a v a
s'impostò	s i m p o s t ɔ
s'imprenta	s i m p r ɛ n t a
s'impressionava	s i m p r e ss j o n a v a
s'impresta	s i m p r ɛ s t a
s'imprimeva	s i m p r i m ɛ v a
s'impuntarono	s i m p ʊ n t a r o n o
s'impuntavano	s i m p ʊ n t a v a n o
s'impunti	s i m p u n t ɪ
s'impuntò	s i m p ʊ n t ɔ
s'inabissava	s i n a b i ss a v a
s'inacidisce	s i n a tʃ i d i ʃ e
s'inalbasse	s i n a l b a ss e
s'inalbera	s i n a l b e r a
s'inalbò	s i n a l b ɔ
s'inarca	s i n a r k a
s'inaspriva	s i n a s p r i v a
s'inazzurrano	s i n a tsː ʊ r ɾ a n o
s'inazzurrerebbero	s i n a tsː ʊ r ɾ e r e bː e r o
s'incallissero	s i n k a l l i ss e ɾ o
s'incalzano	s i n k a l ts a n o
s'incamminava	s i n k a m m i n a v a
s'incamminò	s i n k a m m i n ɔ
s'incanta	s i n k a n t a
s'incappelli	s i n k a pː ɛ l l ɪ
s'incarica	s i n k a r i k a
s'incaricherà	s i n k a r i k e ɾ a
s'incavavano	s i n k a v a v a n o
s'incavernasse	s i n k a v e r n a ss e
s'incensavano	s i n tʃ e n s a v a n o
s'inchina	s i n k i n a
s'inchinano	s i n k i n a n o
s'inchinarono	s i n k i n a r o n o
s'inchinasse	s i n k i n a ss e
s'inchinava	s i n k i n a v a
s'inchinavano	s i n k i n a v a n o
s'inchinerebbe	s i n k i n e r ɛ bː e
s'inchinino	s i n k i n i n o
s'inchinò	s i n k i n ɔ
s'inchioda	s i n k j ɔ d a
s'incide	s i n tʃ i d e
s'incinqua	s i n tʃ i n k w a
s'incinse	s i n tʃ i n s e
s'incollano	s i n k ɔ l l a n o
s'incomincia	s i n k o m i n tʃ a
s'incominciaro	s i n k o m i n tʃ a r o
s'incominciarono	s i n k o m i n tʃ a r o n o
s'incominciava	s i n k o m i n tʃ a v a
s'incommincia	s i n k o m m i n tʃ a
s'incommoda	s i n k o m m o d a
s'incomodi	s i n k ɔ m o d ɪ
s'incontra	s i n k o n t r a
s'incontran	s i n k o n t r a n
s'incontrano	s i n k o n t r a n o
s'incontrarono	s i n k o n t r a r o n o
s'incontrasse	s i n k o n t r a ss e
s'incontrava	s i n k o n t r a v a
s'incontrò	s i n k o n t r ɔ
s'increspava	s i n k r e s p a v a
s'incrocia	s i n k r o tʃ a
s'incrociano	s i n k r o tʃ a n o
s'incrociavano	s i n k r o tʃ a v a n o
s'incrocicchia	s i n k r o tʃ i kː i a
s'incrocieranno	s i n k r o tʃ e r a n n o
s'incrudiva	s i n k r ʊ d i v a
s'incupiva	s i n k ʊ p i v a
s'incupivano	s i n k ʊ p i v a n o
s'incuriosisce	s i n k ʊ r i o z i ʃ e
s'incurvarono	s i n k ʊ r v a r o n o
s'incurvava	s i n k ʊ r v a v a
s'indi	s i n d ɪ
s'indigna	s i n d i ɲ ɲ a
s'indignavano	s i n d i ɲ a v a n o
s'indignò	s i n d i ɲ ɲ ɔ
s'indispettisce	s i n d i s p e tː i ʃ e
s'indispettí	s i n d i s p e tː i
s'indonna	s i n d ɔ n n a
s'indorava	s i n d o r a v a
s'indovina	s i n d o v i n a
s'indovinava	s i n d o v i n a v a
s'indraca	s i n d r a k a
s'induca	s i n d u k a
s'indugia	s i n d u dʒ a
s'indugiano	s i n d ʊ dʒ a n o
s'indugiasse	s i n d ʊ dʒ a ss e
s'indugiava	s i n d ʊ dʒ a v a
s'indugiavano	s i n d ʊ dʒ a v a n o
s'indugiò	s i n d ʊ dʒ ɔ
s'indurisca	s i n d ʊ r i s k a
s'induriva	s i n d ʊ r i v a
s'indusse	s i n d u ss e
s'industria	s i n d u s t r i a
s'industriasse	s i n d ʊ s t r i a ss e
s'inebriano	s i n e b r i a n o
s'inebriava	s i n e b r i a v a
s'inerpica	s i n ɛ r p i k a
s'inerpicasse	s i n e r p i k a ss e
s'inerpicavano	s i n e r p i k a v a n o
s'inerpicò	s i n e r p i k ɔ
s'infastidivano	s i n f a s t i d i v a n o
s'inferma	s i n f e r m a
s'infermò	s i n f e r m ɔ
s'inferocisce	s i n f e r o tʃ i ʃ e
s'infervorava	s i n f e r v o r a v a
s'infiamma	s i n f j a m m a
s'infiammarono	s i n f j a m m a r o n o
s'infiammi	s i n f j a m m ɪ
s'infilava	s i n f i l a v a
s'infilavano	s i n f i l a v a n o
s'infiltra	s i n f i l t r a
s'infiltrino	s i n f i l t r i n o
s'infilzano	s i n f i l ts a n o
s'infilò	s i n f i l ɔ
s'infinse	s i n f i n s e
s'infiora	s i n f j ɔ r a
s'inflette	s i n f l e tː e
s'infocasse	s i n f o k a ss e
s'infocava	s i n f o k a v a
s'informa	s i n f o r m a
s'informava	s i n f o r m a v a
s'informò	s i n f o r m ɔ
s'infoscava	s i n f o s k a v a
s'infoscavano	s i n f o s k a v a n o
s'infoscò	s i n f o s k ɔ
s'infranga	s i n f r a ŋ ɡ a
s'infrange	s i n f r a n dʒ e
s'infrangevano	s i n f r a n dʒ e v a n o
s'infranse	s i n f r a n s e
s'infrociò	s i n f r o tʃ ɔ
s'infronda	s i n f r o n d a
s'infronzolano	s i n f r o n ts o l a n o
s'infutura	s i n f ʊ t u r a
s'inganna	s i ŋ ɡ a n n a
s'ingannano	s i ŋ ɡ a n n a n o
s'ingannasse	s i ŋ ɡ a n n a ss e
s'ingannava	s i ŋ ɡ a n n a v a
s'ingannò	s i ŋ ɡ a n n ɔ
s'ingegna	s i n dʒ e ɲ ɲ a
s'ingegnava	s i n dʒ e ɲ a v a
s'ingegnavano	s i n dʒ e ɲ a v a n o
s'ingegni	s i n dʒ e ɲ ɲ ɪ
s'ingegnò	s i n dʒ e ɲ ɲ ɔ
s'ingenocchiasse	s i n dʒ e n o kː j a ss e
s'ingentiliscono	s i n dʒ e n t i l i s k o n o
s'inginocchia	s i n dʒ i n o kː i a
s'inginocchiarono	s i n dʒ i n o kː j a r o n o
s'inginocchiava	s i n dʒ i n o kː j a v a
s'inginocchiò	s i n dʒ i n o kː j ɔ
s'ingorgava	s i ŋ ɡ o r ɡ a v a
s'ingozzava	s i ŋ ɡ o tsː a v a
s'ingrada	s i ŋ ɡ r a d a
s'ingrandisce	s i ŋ ɡ r a n d i ʃ e
s'ingrandivano	s i ŋ ɡ r a n d i v a n o
s'ingravidi	s i ŋ ɡ r a v i d ɪ
s'ingrossava	s i ŋ ɡ r o ss a v a
s'ingrosserebbero	s i ŋ ɡ r o ss e r e bː e r o
s'inimica	s i n i m i k a
s'inizia	s i n i ts i a
s'inluia	s i n l u i a
s'inmilla	s i n m i l l a
s'innalza	s i n n a l ts a
s'innalzano	s i n n a l ts a n o
s'innalzava	s i n n a l ts a v a
s'innalzavano	s i n n a l ts a v a n o
s'innalzò	s i n n a l ts ɔ
s'innamora	s i n n a m ɔ r a
s'innamorano	s i n n a m ɔ r a n o
s'innamorava	s i n n a m o r a v a
s'innamorerà	s i n n a m o r e ɾ a
s'innamori	s i n n a m o r ɪ
s'innamorò	s i n n a m o ɾ ɔ
s'innesta	s i n n ɛ s t a
s'innestano	s i n n ɛ s t a n o
s'innoltra	s i n n o l t r a
s'innovò	s i n n o v ɔ
s'inoltrano	s i n o l t r a n o
s'inoltrava	s i n o l t r a v a
s'inquadra	s i n k w a d r a
s'inquieta	s i n k w j ɛ t a
s'inquietano	s i n k w j ɛ t a n o
s'inquietava	s i n k w j e t a v a
s'inquietò	s i n k w j e t ɔ
s'inquïeta	s i n k w j e t a
s'insaccava	s i n s a kː a v a
s'insaccò	s i n s a kː ɔ
s'insapora	s i n s a p ɔ r a
s'insediava	s i n s e d j a v a
s'insegna	s i n s e ɲ ɲ a
s'insegni	s i n s e ɲ ɲ ɪ
s'inseguivano	s i n s e ɡ w i v a n o
s'inseguono	s i n s e ɡ w o n o
s'inselva	s i n s ɛ l v a
s'inserisca	s i n s e r i s k a
s'insinua	s i n s i n ʊ a
s'insinuava	s i n s i n ʊ a v a
s'insinuò	s i n s i n ʊ ɔ
s'insozzassero	s i n s o tsː a ss e r o
s'intaglia	s i n t a ʎ a
s'intenda	s i n t ɛ n d a
s'intende	s i n t ɛ n d e
s'intendea	s i n t e n d ɛ a
s'intenderà	s i n t e n d e ɾ a
s'intendeva	s i n t e n d ɛ v a
s'intendevano	s i n t e n d e v a n o
s'intendon	s i n t e n d o n
s'intendono	s i n t e n d o n o
s'intenerisce	s i n t e n e r i ʃ e
s'inteneriscono	s i n t e n e r i s k o n o
s'inteneriva	s i n t e n e r i v a
s'intenerivano	s i n t e n e r i v a n o
s'intenerí	s i n t e n e r i
s'intercalava	s i n t e r k a l a v a
s'interdice	s i n t ɛ r d i tʃ e
s'interessarono	s i n t e r e ss a r o n o
s'interessava	s i n t e r e ss a v a
s'interiva	s i n t e r i v a
s'interna	s i n t ɛ r n a
s'interpone	s i n t e r p o n e
s'interpose	s i n t e r p o z e
s'interpuose	s i n t e r p ʊ o z e
s'interrompe	s i n t e r ɾ o m p e
s'interruppe	s i n t e r ɾ u pː e
s'intese	s i n t e z e
s'intesero	s i n t e z e r o
s'intesse	s i n t ɛ ss e
s'intitola	s i n t i t o l a
s'intitolarono	s i n t i t o l a r o n o
s'intonava	s i n t o n a v a
s'intoppa	s i n t ɔ pː a
s'intorbida	s i n t ɔ r b i d a
s'intorbidivano	s i n t o r b i d i v a n o
s'intorbidò	s i n t o r b i d ɔ
s'intozzava	s i n t o tsː a v a
s'intralciava	s i n t r a l tʃ a v a
s'intratteneva	s i n t r a tː e n ɛ v a
s'intravede	s i n t r a v e d e
s'intravedeva	s i n t r a v e d ɛ v a
s'intravedevano	s i n t r a v e d e v a n o
s'intravidero	s i n t r a v i d e r o
s'intravvede	s i n t r a v v e d e
s'intravvedono	s i n t r a v v e d o n o
s'intreccia	s i n t r e tʃː a
s'intrecciava	s i n t r e tʃː a v a
s'intrecciavano	s i n t r e tʃː a v a n o
s'intrecciò	s i n t r e tʃː ɔ
s'introduce	s i n t r o d u tʃ e
s'introdusse	s i n t r o d u ss e
s'introdussero	s i n t r o d u ss e r o
s'intromettesse	s i n t r o m e tː ɛ ss e
s'intromise	s i n t r o m i z e
s'inumidiscono	s i n ʊ m i d i s k o n o
s'inurba	s i n u r b a
s'invaniva	s i n v a n i v a
s'invaporavan	s i n v a p o r a v a n
s'invecchia	s i n v e kː i a
s'inveleniva	s i n v e l e n i v a
s'inventa	s i n v ɛ n t a
s'invera	s i n v e r a
s'invermiglia	s i n v e r m i ʎ a
s'invermigliò	s i n v e r m i ʎ ɔ
s'invetrarono	s i n v e t r a r o n o
s'invetravano	s i n v e t r a v a n o
s'inviscava	s i n v i s k a v a
s'invola	s i n v o l a
s'involerebbero	s i n v o l e r e bː e r o
s'inzaffira	s i n ts a f f i r a
s'inzuppa	s i n ts u pː a
s'io	s i o
s'irrigidiva	s i r ɾ i dʒ i d i v a
s'irrigidì	s i r ɾ i dʒ i d i
s'irrigidí	s i r ɾ i dʒ i d i
s'irritava	s i r ɾ i t a v a
s'irritò	s i r ɾ i t ɔ
s'ispira	s i s p i r a
s'istupidiva	s i s t ʊ p i d i v a
s'oblia	s o b l i a
s'occupavano	s o kː ʊ p a v a n o
s'oda	s o d a
s'ode	s o d e
s'offende	s o f f ɛ n d e
s'offendessero	s o f f e n d e ss e r o
s'offendeva	s o f f e n d ɛ v a
s'offerie	s o f f e r i e
s'offerse	s o f f ɛ r s e
s'offese	s o f f e z e
s'offre	s o f f r e
s'offriron	s o f f r i r o n
s'offrirono	s o f f r i r o n o
s'offuscò	s o f f ʊ s k ɔ
s'onora	s o n ɔ r a
s'oppone	s o pː o n e
s'opponeva	s o pː o n ɛ v a
s'opponga	s o pː o ŋ ɡ a
s'oppose	s o pː o z e
s'opposero	s o pː ɔ z e r o
s'orlavano	s o r l a v a n o
s'ormeggiò	s o r m e dʒː ɔ
s'oscura	s o s k u r a
s'oscurassero	s o s k ʊ r a ss e r o
s'oscurava	s o s k ʊ r a v a
s'oscurò	s o s k ʊ ɾ ɔ
s'osserva	s o ss ɛ r v a
s'ostina	s o s t i n a
s'ostinano	s o s t i n a n o
s'ostinava	s o s t i n a v a
s'ostinavano	s o s t i n a v a n o
s'ostinino	s o s t i n i n o
s'ostinò	s o s t i n ɔ
s'otturano	s o tː ʊ r a n o
s'ubriacava	s ʊ b r i a k a v a
s'ubriacavano	s ʊ b r i a k a v a n o
s'uccidiamo	s ʊ tʃː i d j a m o
s'udi	s u d ɪ
s'udia	s u d i a
s'udiano	s ʊ d j a n o
s'udie	s u d j e
s'udiron	s ʊ d i r o n
s'udirono	s ʊ d i r o n o
s'udiva	s ʊ d i v a
s'udivan	s ʊ d i v a n
s'udivano	s ʊ d i v a n o
s'udì	s ʊ d i
s'udí	s ʊ d i
s'umilïasse	s ʊ m i l i a ss e
s'un	s u n
s'una	s u n a
s'unio	s u n i o
s'unirono	s ʊ n i r o n o
s'univa	s ʊ n i v a
s'unqua	s u n k w a
s'urtavano	s ʊ r t a v a n o
s'usa	s u z a
s'usano	s u z a n o
s'usavano	s ʊ z a v a n o
s'è	s ɛː
sa	s a
sa'	s a
saa	s a a
saba	s a b a
sabato	s a b a t o
sabbandona	s a bː a n d o n a
sabbandonare	s a bː a n d o n a r e
sabbandonava	s a bː a n d o n a v a
sabbandonò	s a bː a n d o n ɔ
sabbato	s a bː a t o
sabbatteva	s a bː a tː ɛ v a
sabbia	s a bː i a
sabbie	s a bː j e
sabbion	s a bː j o n
sabbione	s a bː j o n e
sabbiosa	s a bː j ɔ z a
sabbioso	s a bː j o z o
sabbracciava	s a bː r a tʃː a v a
sabbrunano	s a bː r u n a n o
sabellio	s a b ɛ l l i o
sabello	s a b ɛ l l o
sabetta	s a b e tː a
sabina	s a b i n a
sabine	s a b i n e
sabini	s a b i n ɪ
sablière	s a b l i ɛ r e
sacca	s a kː a
saccampa	s a kː a m p a
saccarezzava	s a kː a r e tsː a v a
saccasciava	s a kː a ʃ a v a
saccende	s a tʃː ɛ n d e
saccendessero	s a tʃː e n d e ss e r o
saccendevano	s a tʃː e n d e v a n o
saccendono	s a tʃː e n d o n o
saccennava	s a tʃː e n n a v a
saccente	s a tʃː ɛ n t e
saccenteria	s a tʃː e n t e r i a
saccenti	s a tʃː ɛ n t ɪ
saccese	s a tʃː e z e
sacche	s a kː e
saccheggi	s a kː ɛ dʒː ɪ
saccheggiano	s a kː ɛ dʒː a n o
saccheggiare	s a kː e dʒː a r e
saccheggiata	s a kː e dʒː a t a
saccheggiato	s a kː e dʒː a t o
saccheggiavano	s a kː e dʒː a v a n o
saccheggio	s a kː e dʒː o
sacchetta	s a kː e tː a
sacchetti	s a kː e tː ɪ
sacchettini	s a kː e tː i n ɪ
sacchettino	s a kː e tː i n o
sacchetto	s a kː e tː o
sacchi	s a kː ɪ
sacci	s a tʃː ɪ
sacciabattano	s a tʃː a b a tː a n o
sacciate	s a tʃː a t e
saccigliò	s a tʃː i ʎ ɔ
saccio	s a tʃː o
sacco	s a kː o
saccocce	s a kː ɔ tʃː e
saccoccia	s a kː o tʃː a
saccoglie	s a kː o ʎ e
saccompagna	s a kː o m p a ɲ ɲ a
saccompagnano	s a kː o m p a ɲ a n o
saccone	s a kː o n e
sacconi	s a kː o n ɪ
saccordava	s a kː o r d a v a
saccordavano	s a kː o r d a v a n o
saccorge	s a kː ɔ r dʒ e
saccorgerebbe	s a kː o r dʒ e r ɛ bː e
saccorgesse	s a kː o r dʒ ɛ ss e
saccorgeva	s a kː o r dʒ ɛ v a
saccorse	s a kː ɔ r s e
saccorsero	s a kː ɔ r s e r o
saccostò	s a kː o s t ɔ
saccovaccia	s a kː o v a tʃː a
saccresce	s a kː r e ʃ e
sacente	s a tʃ ɛ n t e
sacerdotale	s a tʃ e r d o t a l e
sacerdote	s a tʃ e r d ɔ t e
sacerdotessa	s a tʃ e r d o t e ss a
sacerdoti	s a tʃ e r d o t ɪ
sacerdozio	s a tʃ e r d ɔ ts i o
sacia	s a tʃ a
sacio	s a tʃ o
sacqueta	s a kː w e t a
sacquista	s a kː w i s t a
sacquistano	s a kː w i s t a n o
sacra	s a k r a
sacramentale	s a k r a m e n t a l e
sacramentato	s a k r a m e n t a t o
sacramentava	s a k r a m e n t a v a
sacramenti	s a k r a m e n t ɪ
sacramento	s a k r a m e n t o
sacrando	s a k r a n d o
sacrario	s a k r a r i o
sacrata	s a k r a t a
sacrate	s a k r a t e
sacratissimo	s a k r a t i ss i m o
sacrato	s a k r a t o
sacrava	s a k r a v a
sacravano	s a k r a v a n o
sacre	s a k r e
sacrerai	s a k r e r aː ɪ
sacrestia	s a k r e s t i a
sacri	s a k r ɪ
sacrifica	s a k r i f i k a
sacrificando	s a k r i f i k a n d o
sacrificano	s a k r i f i k a n o
sacrificar	s a k r i f i k a r
sacrificare	s a k r i f i k a r e
sacrificarla	s a k r i f i k a r l a
sacrificarono	s a k r i f i k a r o n o
sacrificarsi	s a k r i f i k a r s ɪ
sacrificasse	s a k r i f i k a ss e
sacrificata	s a k r i f i k a t a
sacrificate	s a k r i f i k a t e
sacrificato	s a k r i f i k a t o
sacrificavano	s a k r i f i k a v a n o
sacrificherebbe	s a k r i f i k e r ɛ bː e
sacrifichi	s a k r i f i k ɪ
sacrifichiamo	s a k r i f i k j a m o
sacrifichiamoci	s a k r i f i k j a m o tʃ ɪ
sacrifici	s a k r i f i tʃ ɪ
sacrificii	s a k r i f i tʃ ɪ
sacrificio	s a k r i f i tʃ o
sacrifico	s a k r i f i k o
sacrifizi	s a k r i f i ts ɪ
sacrifizii	s a k r i f i ts ɪː j
sacrifizio	s a k r i f i ts i o
sacrilega	s a k r i l e ɡ a
sacrilegio	s a k r i l ɛ dʒ o
sacrilego	s a k r i l e ɡ o
sacrista	s a k r i s t a
sacristia	s a k r i s t i a
sacro	s a k r o
sacrosanta	s a k r o z a n t a
sacrosantamente	s a k r o z a n t a m e n t e
sacrosante	s a k r o z a n t e
sacrosanto	s a k r o z a n t o
sacrò	s a k r ɔ
sadagia	s a d a dʒ i a
sadattava	s a d a tː a v a
sadditavano	s a dː i t a v a n o
saddormenta	s a dː o r m e n t a
saddormentava	s a dː o r m e n t a v a
saddormenterebbero	s a dː o r m e n t e r e bː e r o
sadira	s a d i r a
sadirano	s a d i r a n o
sadopra	s a d ɔ p r a
sae	s a e
saetta	s a e tː a
saettando	s a e tː a n d o
saettandolo	s a e tː a n d o l o
saettano	s a e tː a n o
saettaron	s a e tː a r o n
saettata	s a e tː a t a
saettato	s a e tː a t o
saettava	s a e tː a v a
saettavan	s a e tː a v a n
saettavano	s a e tː a v a n o
saette	s a e tː e
saettella	s a e tː ɛ l l a
saetti	s a e tː ɪ
saettò	s a e tː ɔ
saffacciarono	s a f f a tʃː a r o n o
saffacciavano	s a f f a tʃː a v a n o
saffacciò	s a f f a tʃː ɔ
saffannano	s a f f a n n a n o
saffannava	s a f f a n n a v a
saffica	s a f f i k a
saffira	s a f f i r a
saffisarono	s a f f i z a r o n o
saffitta	s a f f i tː a
saffligge	s a f f l i dʒː e
saffo	s a f f o
saffogò	s a f f o ɡ ɔ
saffollava	s a f f o l l a v a
saffretta	s a f f r e tː a
saffrettano	s a f f r e tː a n o
saffrettavano	s a f f r e tː a v a n o
saffrettò	s a f f r e tː ɔ
sagace	s a ɡ a tʃ e
sagaci	s a ɡ a tʃ ɪ
sagacia	s a ɡ a tʃ a
sagacità	s a ɡ a tʃ i t a
sagge	s a dʒː e
saggezza	s a dʒː e tsː a
saggi	s a dʒː ɪ
saggia	s a dʒː a
saggiamente	s a dʒː a m e n t e
saggiando	s a dʒː a n d o
saggie	s a dʒː e
saggina	s a dʒː i n a
saggio	s a dʒː o
saggira	s a dʒː i r a
saggirò	s a dʒː i ɾ ɔ
saggiusta	s a dʒː u s t a
saggrappa	s a ɡː r a pː a
saggregano	s a ɡː r e ɡ a n o
sagitava	s a dʒ i t a v a
sagitavano	s a dʒ i t a v a n o
sagitò	s a dʒ i t ɔ
saglia	s a ʎ a
sagome	s a ɡ o m e
sagra	s a ɡ r a
sagramento	s a ɡ r a m e n t o
sagrato	s a ɡ r a t o
sagrestana	s a ɡ r e s t a n a
sagrestano	s a ɡ r e s t a n o
sagrestia	s a ɡ r e s t i a
sagrificio	s a ɡ r i f i tʃ o
sahara	s a a ɾ a
sai	s a j
sainct	s aɪ n k t
saint	s aɪ n t
saio	s a i o
saja	s a j a
sajuta	s a j u t a
sajìore	s a j i o r e
sal	s a l
sala	s a l a
saladillo	s a l a d i l l o
saladino	s a l a d i n o
salame	s a l a m e
salamelecchi	s a l a m e l e kː ɪ
salamina	s a l a m i n a
salamoia	s a l a m ɔ i a
salano	s a l a n o
salar	s a l a r
salardo	s a l a r d o
salare	s a l a r e
salariata	s a l a r i a t a
salariati	s a l a r i a t ɪ
salario	s a l a r i o
salassando	s a l a ss a n d o
salassar	s a l a ss a r
salassato	s a l a ss a t o
salassavano	s a l a ss a v a n o
salassiamo	s a l a ss j a m o
salasso	s a l a ss o
salata	s a l a t a
salate	s a l a t e
salati	s a l a t ɪ
salato	s a l a t o
salatura	s a l a t u r a
salavam	s a l a v a m
salavano	s a l a v a n o
salci	s a l tʃ ɪ
salcio	s a l tʃ o
salda	s a l d a
saldamente	s a l d a m e n t e
saldar	s a l d a r
saldare	s a l d a r e
saldarono	s a l d a r o n o
saldata	s a l d a t a
saldati	s a l d a t ɪ
saldato	s a l d a t o
saldatura	s a l d a t u r a
saldcte	s a l d k t e
salde	s a l d e
saldezza	s a l d e tsː a
saldi	s a l d ɪ
saldo	s a l d o
sale	s a l e
salendo	s a l ɛ n d o
saleni	s a l ɛ n ɪ
salente	s a l ɛ n t e
salernitane	s a l e r n i t a n e
salerno	s a l ɛ r n o
saletta	s a l e tː a
salga	s a l ɡ a
salgano	s a l ɡ a n o
salgari	s a l ɡ a r ɪ
salgo	s a l ɡ o
salgono	s a l ɡ o n o
sali	s a l ɪ
salia	s a l i a
saliamo	s a l i a m o
salice	s a l i tʃ e
salices	s a l i tʃ e s
saliche	s a l i k e
salici	s a l i tʃ ɪ
saliente	s a l i ɛ n t e
salienti	s a l i ɛ n t ɪ
saliera	s a l i ɛ r a
saliere	s a l i ɛ r e
salii	s a l ɪː j
salimmo	s a l i m m o
saline	s a l i n e
salir	s a l i r
salirci	s a l i r tʃ ɪ
salire	s a l i r e
saliremo	s a l i r ɛ m o
salirgli	s a l i r ʎ ɪ
saliri	s a l i r ɪ
salirla	s a l i r l a
saliro	s a l i r o
saliron	s a l i r o n
salirono	s a l i r o n o
salirvi	s a l i r v ɪ
salirà	s a l i ɾ a
saliscendi	s a l i ʃ e n d ɪ
salispana	s a l i s p a n a
salisse	s a l i ss e
salissi	s a l i ss ɪ
salisti	s a l i s t ɪ
salita	s a l i t a
salite	s a l i t e
saliti	s a l i t ɪ
salito	s a l i t o
salitor	s a l i t ɔ r
saliva	s a l i v a
salivan	s a l i v a n
salivano	s a l i v a n o
salivazione	s a l i v a ts i o n e
salivi	s a l i v ɪ
salivo	s a l i v o
salle	s a l l e
sallendo	s a l l ɛ n d o
sallo	s a l l o
sallontana	s a l l o n t a n a
sallontanava	s a l l o n t a n a v a
sallontanò	s a l l o n t a n ɔ
sallunga	s a l l u ŋ ɡ a
sallungavano	s a l l ʊ ŋ ɡ a v a n o
sallustio	s a l l u s t i o
salma	s a l m a
salmastro	s a l m a s t r o
salme	s a l m e
salmerie	s a l m e r i e
salmi	s a l m ɪ
salmista	s a l m i s t a
salmo	s a l m o
salmodia	s a l m o d i a
salmodiando	s a l m o d j a n d o
salmodiare	s a l m o d j a r e
salmone	s a l m o n e
salmoni	s a l m o n ɪ
salomone	s a l o m o n e
salone	s a l o n e
saloni	s a l o n ɪ
salonia	s a l ɔ n i a
salotti	s a l ɔ tː ɪ
salottino	s a l o tː i n o
salotto	s a l ɔ tː o
salpando	s a l p a n d o
salpare	s a l p a r e
salpava	s a l p a v a
salsa	s a l s a
salsapariglia	s a l s a p a r i ʎ a
salse	s a l s e
salsedine	s a l s ɛ d i n e
salsi	s a l s ɪ
salsicce	s a l s i tʃː e
salsiccia	s a l s i tʃː a
salsicciotti	s a l s i tʃː ɔ tː ɪ
salsicciotto	s a l s i tʃː ɔ tː o
salsito	s a l s i t o
salta	s a l t a
saltai	s a l t a j
saltamartino	s a l t a m a r t i n o
saltammo	s a l t a m m o
saltan	s a l t a n
saltando	s a l t a n d o
saltandogli	s a l t a n d o ʎ ɪ
saltano	s a l t a n o
saltanti	s a l t a n t ɪ
saltar	s a l t a r
saltarci	s a l t a r tʃ ɪ
saltare	s a l t a r e
saltarellandole	s a l t a r e l l a n d o l e
saltargli	s a l t a r ʎ ɪ
saltarle	s a l t a r l e
saltarmi	s a l t a r m ɪ
saltaron	s a l t a r o n
saltarono	s a l t a r o n o
saltarvi	s a l t a r v ɪ
saltasse	s a l t a ss e
saltaste	s a l t a s t e
saltata	s a l t a t a
saltate	s a l t a t e
saltati	s a l t a t ɪ
saltato	s a l t a t o
saltatore	s a l t a t o r e
saltatori	s a l t a t o r ɪ
saltava	s a l t a v a
saltavamo	s a l t a v a m o
saltavan	s a l t a v a n
saltavano	s a l t a v a n o
saltavo	s a l t a v o
saltella	s a l t ɛ l l a
saltellando	s a l t e l l a n d o
saltellano	s a l t e l l a n o
saltellante	s a l t e l l a n t e
saltellanti	s a l t e l l a n t ɪ
saltellar	s a l t e l l a r
saltellare	s a l t e l l a r e
saltellasse	s a l t e l l a ss e
saltellava	s a l t e l l a v a
saltellavano	s a l t e l l a v a n o
saltellò	s a l t e l l ɔ
salterai	s a l t e r aː ɪ
salterebbe	s a l t e r ɛ bː e
salterello	s a l t e r ɛ l l o
salterà	s a l t e ɾ a
salterò	s a l t e ɾ ɔ
salti	s a l t ɪ
saltiamo	s a l t j a m o
saltimbanchi	s a l t i m b a n k ɪ
saltimbanco	s a l t i m b a n k o
salto	s a l t o
saltoladdo	s a l t o l a dː o
saltolando	s a l t o l a n d o
saltolle	s a l t ɔ l l e
saltuaria	s a l t ʊ a r i a
saltum	s a l t ʊ m
saltò	s a l t ɔ
saluberrimo	s a l ʊ b ɛ r ɾ i m o
salubre	s a l u b r e
saluiorono	s a l ʊ j ɔ r o n o
salumai	s a l ʊ m a j
salumaio	s a l ʊ m a i o
salustio	s a l u s t i o
saluta	s a l u t a
salutai	s a l ʊ t a j
salutale	s a l u t a l e
salutali	s a l u t a l ɪ
salutalo	s a l u t a l o
salutamelo	s a l u t a m e l o
salutami	s a l u t a m ɪ
salutammo	s a l ʊ t a m m o
salutando	s a l ʊ t a n d o
