а	ɑ
счастьи	ɕ ɑ s tʲ j ɪ
счастью	ɕ ɑ s tʲ j ju
счастья	ɕ ɑ s tʲ j ja
счел	ɕ e ɭ
счесть	ɕ e s tʲ
счет	ɕ e t
счета	ɕ i t ɑ
счетам	ɕ e t ʌ m
счетами	ɕ i t ɑ mʲ ɪ
счетах	ɕ e t ʌ x
счете	ɕ e tʲ i
счетов	ɕ i t o f
счетовод	ɕ i t ʌ v o t
счетоводу	ɕ i t o v ʌ d u
счетом	ɕ e t ʌ m
счету	ɕ e t u
счетчик	ɕ e t tʃʲ i k
счеты	ɕ e t y
считавший	ɕ i t ɑ f ʃ y j
считаем	ɕ i t ɑ j i m
считает	ɕ i t ɑ j i t
считаете	ɕ i t ɑ j i tʲ i
считается	ɕ i t ɑ j i ts ʌ
считаешь	ɕ i t ɑ j i ʃ
считай	ɕ i t ɑ j
считал	ɕ i t ɑ ɭ
считала	ɕ i t ɑ ɭ a
считалась	ɕ i t ɑ ɭ ʌ sʲ
считали	ɕ i t ɑ ɭʲ ɪ
считались	ɕ i t ɑ ɭʲ i sʲ
считало	ɕ i t ɑ ɭ ʌ
считалось	ɕ i t ɑ ɭ ʌ sʲ
считался	ɕ i t ɑ ɭ sʲ ʌ
считать	ɕ i t ɑ tʲ
считаться	ɕ i t ɑ tʲ sʲ ʌ
считаю	ɕ i t ɑ ju
считаюсь	ɕ i t ɑ ju sʲ
считают	ɕ i t ɑ ju t
считаются	ɕ i t ɑ ju ts ʌ
считая	ɕ i t ɑ ja
считаясь	ɕ i t ɑ ja sʲ
сшибаясь	ʃ ʃ y b ɑ ja sʲ
сшибок	ʃ ʃ y b o k
сшила	ʃ ʃ y ɭ a
сшитая	ʃ ʃ y t ʌ ja
сшитое	ʃ ʃ y t ʌ j ɪ
сшитом	ʃ ʃ y t ʌ m
сшить	ʃ ʃ y tʲ
съедает	s j j i d ɑ j i t
съедается	s j j i d ɑ j i ts ʌ
съедал	s j j i d ɑ ɭ
съеден	s j j e dʲ i n
съедение	s j j i dʲ e nʲ i j ɪ
съеденного	s j j e dʲ i n n ʌ v ʌ
съеденному	s j j i dʲ e n n ʌ m u
съеденье	s j j i dʲ e n j j ɪ
съедим	s j j i dʲ i m
съедутся	s j j e d u tʲ sʲ ʌ
съедят	s j j i dʲ ɑ t
съеживались	s j j e ʒ y v ʌ ɭʲ i sʲ
съежил	s j j e ʒ y ɭ
съежился	s j j e ʒ y ɭ sʲ ʌ
съезд	s j j e s t
съезда	s j j e z d a
съездах	s j j e z d ʌ x
съезде	s j j e ʑ dʲ i
съезди	s j j e ʑ dʲ ɪ
съездил	s j j e ʑ dʲ i ɭ
съездит	s j j e ʑ dʲ i t
съездите	s j j e ʑ dʲ i tʲ i
съездить	s j j e ʑ dʲ i tʲ
съездов	s j j e z d ʌ f
съездом	s j j e z d ʌ m
съезжались	s j j i ʒ ʒ ɑ ɭʲ i sʲ
съезжу	s j j e ʒ ʒ u
съел	s j j e ɭ
съела	s j j e ɭ a
съели	s j j e ɭʲ ɪ
съем	s j j e m
съест	s j j e s t
съестное	s j j i s t n o j ɪ
съестными	s j j i s t n y mʲ ɪ
съесть	s j j e s tʲ
съехались	s j j e x ʌ ɭʲ i sʲ
сыграем	s y ɡ r ɑ j i m
сыграешь	s y ɡ r ɑ j i ʃ
сыграй	s y ɡ r ɑ j
сыграл	s y ɡ r ɑ ɭ
сыграла	s y ɡ r ɑ ɭ a
сыграли	s y ɡ r ɑ ɭʲ ɪ
сыграло	s y ɡ r ɑ ɭ ʌ
сыгранную	s y ɡ r ʌ n n u ju
сыграть	s y ɡ r ɑ tʲ
сыграю	s y ɡ r ɑ ju
сызмала	s y z m ɑ ɭ a
сызнова	s y z n ʌ v a
сый	s y j
сын	s y n
сына	s y n a
сынами	s y n ɑ mʲ ɪ
сынапростака	s y n a p r o s t ʌ k a
сыне	s y nʲ i
сынишка	s y nʲ i ʃ k a
сынишку	s y nʲ i ʃ k u
сынка	s y n k ɑ
сынкаэак	s y n k a ɛ ʌ k
сынком	s y n k o m
сынов	s y n o f
сыновей	s y n ʌ vʲ e j
сыновний	s y n o v nʲ i j
сыновья	s y n ʌ v j ja
сыновьямиподростками	s y n ʌ v j ja mʲ i p o d r ʌ s t k ʌ mʲ ɪ
сынок	s y n o k
сыном	s y n ʌ m
сынто	s y n t ʌ
сыну	s y n u
сыны	s y n y
сыпал	s y p ʌ ɭ
сыпалась	s y p ʌ ɭ ʌ sʲ
сыпались	s y p ʌ ɭʲ i sʲ
сыпать	s y p ʌ tʲ
сыплет	s y p ɭʲ i t
сыплется	s y p ɭʲ i ts ʌ
сыплются	s y p ɭʲ u" ts ʌ
сыплющихся	s y p ɭʲ u" ɕ i x sʲ ʌ
сыпучие	s y p u tʃʲ i j ɪ
сыпьте	s y p tʲ i
сыпят	s y pʲ ɑ t
сыр	s y r
сыре	s y rʲ i
сыро	s y r ʌ
сыровар	s y r o v ʌ r
сырого	s y r o v ʌ
сырое	s y r o j ɪ
сырой	s y r o j
сыром	s y r ʌ m
сыромолотная	s y r ʌ m o ɭ ʌ t n ʌ ja
сырости	s y r ʌ sʲ tʲ ɪ
сырость	s y r ʌ s tʲ
сыростью	s y r ʌ s tʲ j ju
сырою	s y r o ju
сыру	s y r u
сырую	s y r u ju
сырцовой	s y r ts o v ʌ j
сырцовые	s y r ts o v y j ɪ
сырцовых	s y r ts o v y x
сыры	s y r y
сырые	s y r y j ɪ
сырым	s y r y m
сыска	s y s k a
сыскалась	s y s k ɑ ɭ ʌ sʲ
сыскался	s y s k ɑ ɭ sʲ ʌ
сыскать	s y s k ɑ tʲ
сыскной	s y s k n o j
сыт	s y t
сыта	s y t a
сытенький	s y tʲ i n kʲ i j
сытно	s y t n ʌ
сыто	s y t ʌ
сытому	s y t ʌ m u
сытости	s y t ʌ sʲ tʲ ɪ
сытость	s y t ʌ s tʲ
сыты	s y t y
сытый	s y t y j
сытым	s y t y m
сытых	s y t y x
сыч	s y tʃʲ
сыщем	s y ɕ i m
сыщет	s y ɕ i t
сыщите	s y ɕ i tʲ i
сю	sʲ u"
сюда	sʲ u" d ɑ
сюжет	sʲ u" ʒ ɛ t
сюжета	sʲ u" ʒ ɛ t a
сюжетам	sʲ u" ʒ ɛ t ʌ m
сюжетов	sʲ u" ʒ ɛ t ʌ f
сюжету	sʲ u" ʒ ɛ t u
сюжеты	sʲ u" ʒ ɛ t y
сюзерен	sʲ u" ʑ i rʲ e n
сюрприз	sʲ u" r p rʲ i s
сюрприза	sʲ u" r p rʲ i z a
сюрпризом	sʲ u" r p rʲ i z ʌ m
сюрпризы	sʲ u" r p rʲ i z y
сюртук	sʲ u" r t u k
сюртука	sʲ u" r t u k ɑ
сюртуках	sʲ u" r t u k ɑ x
сюртуке	sʲ u" r t u kʲ e
сюртуки	sʲ u" r t u kʲ i
сюртучок	sʲ u" r t u tʃʲ o k
сюсюкающей	sʲ u" sʲ u" k ɑ ju ɕ i j
сядем	sʲ ɑ dʲ i m
сядет	sʲ ɑ dʲ i t
сядешь	sʲ ɑ dʲ i ʃ
сяду	sʲ ɑ d u
сядут	sʲ ɑ d u t
сядь	sʲ ɑ tʲ
сядьте	sʲ ɑ dʲ tʲ i
сядьтека	sʲ a dʲ tʲ e k a
сяк	sʲ ɑ k
сякой	sʲ a k o j
сям	sʲ ɑ m
т	t ɛ
та	t ɑ
табак	t a b ɑ k
табакерка	t ʌ b a kʲ e r k a
табакеркою	t ʌ b a kʲ e r k ʌ ju
табакерку	t ʌ b a kʲ e r k u
табаком	t ʌ b a k o m
табаку	t ʌ b a k u
табачища	t a b ɑ tʃʲ i ɕ ʌ
табачку	t ʌ b a tʃʲ k u
табачного	t a b ɑ tʃʲ n ʌ v ʌ
таблиц	t a b ɭʲ i ts
таблица	t a b ɭʲ i ts a
таблице	t a b ɭʲ i ts y
таблицы	t a b ɭʲ i ts y
таблички	t a b ɭʲ i tʃʲ kʲ ɪ
табор	t ɑ b ʌ r
табора	t ɑ b ʌ r a
таборам	t a b o r ʌ m
таборах	t a b o r ʌ x
таборе	t a b o rʲ i
таборов	t a b o r ʌ f
табором	t ɑ b ʌ r ʌ m
табору	t ɑ b ʌ r u
таборы	t a b o r y
табу	t a b u
табун	t a b u n
табуна	t ʌ b u n ɑ
табунов	t ʌ b u n o f
табуны	t ʌ b u n y
табурет	t ʌ b u rʲ e t
табурете	t ʌ b u rʲ e tʲ i
табуреток	t ʌ b u rʲ e t ʌ k
тавриды	t a v rʲ i d y
тавроскифы	t a v r o s kʲ i f y
таг	t ɑ k
таганку	t a ɡ ɑ n k u
таганок	t ʌ ɡ a n o k
таганрогский	t ʌ ɡ a n r o k s kʲ i j
таганрогском	t ʌ ɡ a n r o k s k ʌ m
таганрогскую	t ʌ ɡ a n r o k s k u ju
тагин	t ɑ ɡʲ i n
тагина	t a ɡʲ i n a
тадеуша	t a dʲ e u ʃ a
тает	t ɑ j i t
таз	t ɑ s
тазит	t a ʑ i t
тазита	t a ʑ i t a
тазитом	t a ʑ i t ʌ m
таи	t ɑ ɪ
таил	t a i ɭ
таила	t a i ɭ a
таилась	t a i ɭ ʌ sʲ
таилгу	t a i ɭ ɡ u
таили	t a i ɭʲ ɪ
таились	t a i ɭʲ i sʲ
таился	t a i ɭ sʲ ʌ
таинства	t ɑ i n s t v a
таинствам	t a i n s t v ʌ m
таинственная	t a i n s t vʲ i n n ʌ ja
таинственнее	t a i n s t vʲ i n nʲ i j ɪ
таинственно	t a i n s t vʲ i n n ʌ
таинственного	t a i n s t vʲ i n n ʌ v ʌ
таинственное	t a i n s t vʲ i n n ʌ j ɪ
таинственной	t a i n s t vʲ i n n ʌ j
таинственном	t a i n s t vʲ i n n ʌ m
таинственному	t a i n s t vʲ i n n ʌ m u
таинственность	t a i n s t vʲ i n n ʌ s tʲ
таинственную	t a i n s t vʲ i n n u ju
таинственные	t a i n s t vʲ i n n y j ɪ
таинственный	t a i n s t vʲ i n n y j
таинственным	t a i n s t vʲ i n n y m
таинственных	t a i n s t vʲ i n n y x
таинство	t ɑ i n s t v ʌ
таинством	t ɑ i n s t v ʌ m
таинству	t ɑ i n s t v u
таит	t a i t
таится	t a i ts ʌ
таить	t a i tʲ
таиться	t a i tʲ sʲ ʌ
таишься	t a i ʃ sʲ ʌ
тайга	t a j ɡ ɑ
тайге	t a j ɡʲ e
тайком	t a j k o m
тайн	t ɑ j n
тайна	t ɑ j n a
тайнами	t ɑ j n ʌ mʲ ɪ
тайнах	t ɑ j n ʌ x
тайная	t ɑ j n ʌ ja
тайне	t ɑ j nʲ i
тайник	t a j nʲ i k
тайниках	t ʌ j nʲ i k ɑ x
тайники	t ʌ j nʲ i kʲ i
тайно	t ɑ j n ʌ
тайноводству	t a j n o v ʌ d s t v u
тайного	t ɑ j n ʌ v ʌ
тайнодействия	t ʌ j n ʌ dʲ e j s t vʲ i ja
тайное	t ɑ j n ʌ j ɪ
тайной	t ɑ j n ʌ j
тайному	t ɑ j n ʌ m u
тайною	t ɑ j n ʌ ju
тайну	t ɑ j n u
тайную	t ɑ j n u ju
тайны	t ɑ j n y
тайные	t ɑ j n y j ɪ
тайный	t ɑ j n y j
тайным	t ɑ j n y m
тайными	t ɑ j n y mʲ ɪ
тайныто	t a j n y t ʌ
тайных	t ɑ j n y x
так	t ɑ k
така	t ɑ k a
такая	t a k ɑ ja
такаято	t a k ɑ ja t ʌ
также	t ɑ ɡ ʒ y
таки	t ɑ kʲ ɪ
такие	t a kʲ i j ɪ
такието	t a kʲ i j i t ʌ
таким	t a kʲ i m
такими	t a kʲ i mʲ ɪ
такимито	t a kʲ i mʲ i t ʌ
такимто	t a kʲ i m t ʌ
таких	t a kʲ i x
такихто	t a kʲ i x t ʌ
таков	t a k o f
такова	t ʌ k ʌ v ɑ
таковая	t ʌ k ʌ v ɑ ja
таково	t ʌ k ʌ v o
таковое	t ʌ k ʌ v o j ɪ
таковой	t ʌ k ʌ v o j
таковская	t a k o f s k ʌ ja
таковский	t a k o f s kʲ i j
таковы	t ʌ k ʌ v y
таковые	t ʌ k ʌ v y j ɪ
таковым	t ʌ k ʌ v y m
таковыми	t ʌ k ʌ v y mʲ ɪ
таковых	t ʌ k ʌ v y x
таког	t a k o k
такого	t a k o v ʌ
такогото	t a k o ɡ ʌ t ʌ
такое	t a k o j ɪ
такоето	t a k o j i t ʌ
такой	t a k o j
такойсякой	t ʌ k ʌ j sʲ ɑ k ʌ j
такойто	t a k o j t ʌ
такойтович	t ʌ k ʌ j t o vʲ i tʃʲ
таком	t a k o m
такомто	t a k o m t ʌ
такому	t a k o m u
такомуто	t a k o m u t ʌ
такото	t a k o t ʌ
такою	t a k o ju
такс	t ɑ k s
такса	t ɑ k s a
такт	t ɑ k t
такта	t ɑ k t a
тактаки	t a k t ɑ kʲ ɪ
тактика	t ɑ k tʲ i k a
тактике	t ɑ k tʲ i kʲ i
тактики	t ɑ k tʲ i kʲ ɪ
тактику	t ɑ k tʲ i k u
тактически	t a k tʲ i tʃʲ i s kʲ ɪ
тактическими	t a k tʲ i tʃʲ i s kʲ i mʲ ɪ
тактических	t a k tʲ i tʃʲ i s kʲ i x
тактичный	t a k tʲ i tʃʲ n y j
такто	t ɑ k t ʌ
тактом	t ɑ k t ʌ m
такую	t a k u ju
такуюто	t a k u ju t ʌ
такэ	t ɑ k ɛ
талансудьба	t a ɭ ɑ n s u dʲ b a
талансудьбу	t a ɭ ɑ n s u dʲ b u
талант	t a ɭ ɑ n t
таланта	t a ɭ ɑ n t a
талантами	t a ɭ ɑ n t ʌ mʲ ɪ
таланте	t a ɭ ɑ n tʲ i
талантик	t a ɭ ɑ n tʲ i k
талантлив	t a ɭ ɑ n t ɭʲ i f
талантлива	t a ɭ ɑ n t ɭʲ i v a
талантливая	t a ɭ ɑ n t ɭʲ i v ʌ ja
талантливее	t a ɭ ɑ n t ɭʲ i vʲ i j ɪ
талантливости	t a ɭ ɑ n t ɭʲ i v ʌ sʲ tʲ ɪ
талантливые	t a ɭ ɑ n t ɭʲ i v y j ɪ
талантливый	t a ɭ ɑ n t ɭʲ i v y j
талантов	t a ɭ ɑ n t ʌ f
талантом	t a ɭ ɑ n t ʌ m
таланту	t a ɭ ɑ n t u
таланты	t a ɭ ɑ n t y
талер	t ɑ ɭʲ i r
талеров	t ɑ ɭʲ i r ʌ f
талией	t ɑ ɭʲ i j i j
талии	t ɑ ɭʲ i ɪ
талию	t ɑ ɭʲ i ju
талия	t ɑ ɭʲ i ja
талмуде	t a ɭ m u dʲ i
талмудическая	t ʌ ɭ m u dʲ i tʃʲ i s k ʌ ja
таловой	t a ɭ o v ʌ j
талой	t ɑ ɭ ʌ j
талом	t ɑ ɭ ʌ m
тальберговские	t ʌ ɭ bʲ i r ɡ o f s kʲ i j ɪ
тальи	t ɑ ɭ j ɪ
тальма	t ɑ ɭ m a
тальника	t a ɭ nʲ i k a
талью	t ɑ ɭ j ju
там	t ɑ m
тамара	t a m ɑ r a
тамаре	t a m ɑ rʲ i
тамару	t a m ɑ r u
тамары	t a m ɑ r y
тамбовский	t a m b o f s kʲ i j
тамбовской	t a m b o f s k ʌ j
тамерлан	t ʌ mʲ i r ɭ ɑ n
таможенными	t a m o ʒ y n n y mʲ ɪ
таможенных	t a m o ʒ y n n y x
таможне	t a m o ʒ nʲ i
таможня	t a m o ʒ nʲ ʌ
тамошнее	t ɑ m ʌ ʃ nʲ i j ɪ
тамошней	t ɑ m ʌ ʃ nʲ i j
тамошние	t ɑ m ʌ ʃ nʲ i j ɪ
тамошний	t ɑ m ʌ ʃ nʲ i j
тамошних	t ɑ m ʌ ʃ nʲ i x
тамошнюю	t ɑ m ʌ ʃ nʲ u" ju
тамто	t ɑ m t ʌ
тан	t ɑ n
тана	t ɑ n a
тане	t ɑ nʲ i
таней	t ɑ nʲ i j
тани	t ɑ nʲ ɪ
тано	t ɑ n ʌ
таном	t ɑ n ʌ m
тану	t ɑ n u
танцам	t ɑ n ts ʌ m
танцев	t ɑ n ts y f
танцевавшие	t ʌ n ts y v ɑ f ʃ y j ɪ
танцевал	t ʌ n ts y v ɑ ɭ
танцевала	t ʌ n ts y v ɑ ɭ a
танцевали	t ʌ n ts y v ɑ ɭʲ ɪ
танцевальные	t ʌ n ts y v ɑ ɭ n y j ɪ
танцевать	t ʌ n ts y v ɑ tʲ
танцовщице	t ʌ n ts ʌ f ɕ i ts y
танцоры	t a n ts o r y
танцует	t a n ts u j i t
танцую	t a n ts u ju
танцуют	t a n ts u ju t
танцующим	t a n ts u ju ɕ i m
танцующих	t a n ts u ju ɕ i x
танцы	t ɑ n ts y
танька	t ɑ n k a
таню	t ɑ nʲ u"
таня	t ɑ nʲ ʌ
тапир	t a pʲ i r
тапира	t a pʲ i r a
тараканы	t ʌ r a k ɑ n y
тарантас	t ʌ r a n t ɑ s
тарантаса	t ʌ r a n t ɑ s a
тарантасе	t ʌ r a n t ɑ sʲ i
тарас	t a r ɑ s
тараса	t a r ɑ s a
тарасу	t a r ɑ s u
тарбуски	t a r b u s kʲ ɪ
тарелка	t a rʲ e ɭ k a
тарелками	t a rʲ e ɭ k ʌ mʲ ɪ
тарелках	t a rʲ e ɭ k ʌ x
тарелке	t a rʲ e ɭ kʲ i
тарелки	t a rʲ e ɭ kʲ ɪ
тарелкой	t a rʲ e ɭ k ʌ j
тарелкою	t a rʲ e ɭ k ʌ ju
тарелку	t a rʲ e ɭ k u
тарелок	t a rʲ e ɭ ʌ k
тарквиниева	t ʌ r k vʲ i nʲ i j i v a
тарквиний	t a r k vʲ i nʲ i j
тарквинию	t a r k vʲ i nʲ i ju
таро	t ɑ r ʌ
тароват	t ʌ r ʌ v ɑ t
тарталье	t a r t ɑ ɭ j j ɪ
тартальей	t a r t ɑ ɭ j j i j
тарталью	t a r t ɑ ɭ j ju
тарталья	t a r t ɑ ɭ j ja
тартинки	t a r tʲ i n kʲ ɪ
тартюф	t ɑ r tʲ u" f
таскает	t a s k ɑ j i t
таскай	t a s k ɑ j
таскал	t a s k ɑ ɭ
таскалась	t a s k ɑ ɭ ʌ sʲ
таскался	t a s k ɑ ɭ sʲ ʌ
таскать	t a s k ɑ tʲ
таскаться	t a s k ɑ tʲ sʲ ʌ
таскаю	t a s k ɑ ju
таскающих	t a s k ɑ ju ɕ i x
таская	t a s k ɑ ja
тассу	t ɑ s s u
тасуя	t a s u ja
тата	t ɑ t a
татар	t a t ɑ r
татарин	t a t ɑ rʲ i n
татарина	t a t ɑ rʲ i n a
татарину	t a t ɑ rʲ i n u
татарское	t a t ɑ r s k ʌ j ɪ
татарской	t a t ɑ r s k ʌ j
татарском	t a t ɑ r s k ʌ m
татарскую	t a t ɑ r s k u ju
татартуба	t a t ɑ r t u b a
татарщиной	t ʌ t a r ɕ i n ʌ j
татары	t a t ɑ r y
татата	t a t ɑ t a
тататата	t a t ɑ t ʌ t a
таты	t ɑ t y
татьяна	t a tʲ j ja n a
татьяне	t a tʲ j ja nʲ i
татьянин	t a tʲ j ja nʲ i n
татьянина	t a tʲ j ja nʲ i n a
татьяной	t a tʲ j ja n ʌ j
татьяну	t a tʲ j ja n u
татьяны	t a tʲ j ja n y
таунуса	t a u n u s a
тафаев	t a f ɑ j i f
тафаева	t a f ɑ j i v a
тафаевой	t ʌ f a j e v ʌ j
тафаеву	t a f ɑ j i v u
тафтой	t a f t o j
тафту	t ɑ f t u
тацит	t a ts y t
тачек	t ɑ tʃʲ i k
ташут	t a ʃ u t
таща	t a ɕ ɑ
тащат	t ɑ ɕ ʌ t
тащил	t a ɕ i ɭ
тащила	t a ɕ i ɭ a
тащилась	t a ɕ i ɭ ʌ sʲ
тащило	t a ɕ i ɭ ʌ
тащился	t a ɕ i ɭ sʲ ʌ
тащит	t ɑ ɕ i t
тащите	t a ɕ i tʲ i
тащится	t ɑ ɕ i ts ʌ
тащить	t a ɕ i tʲ
тащусь	t a ɕ u sʲ
таю	t ɑ ju
тают	t ɑ ju t
тающая	t ɑ ju ɕ ʌ ja
тающего	t ɑ ju ɕ i v ʌ
тающей	t ɑ ju ɕ i j
тающий	t ɑ ju ɕ i j
тая	t ɑ ja
таяла	t ɑ ja ɭ a
таяли	t ɑ ja ɭʲ ɪ
таят	t a ja t
таятся	t a ja ts ʌ
таять	t ɑ ja tʲ
таящиеся	t a ja ɕ i j i sʲ ʌ
таящий	t a ja ɕ i j
таящимися	t ʌ ja ɕ i mʲ i sʲ ʌ
тванн	t v ɑ n n
тванна	t v ɑ n n a
тварей	t v ɑ rʲ i j
твари	t v ɑ rʲ ɪ
тварь	t v ɑ r ɪ^
тверд	t vʲ e r t
тверда	t vʲ i r d ɑ
твердея	t vʲ i r dʲ e ja
твердил	t vʲ i r dʲ i ɭ
твердила	t vʲ i r dʲ i ɭ a
твердили	t vʲ i r dʲ i ɭʲ ɪ
твердило	t vʲ i r dʲ i ɭ ʌ
твердит	t vʲ i r dʲ i t
твердить	t vʲ i r dʲ i tʲ
твердо	t vʲ e r d ʌ
твердого	t vʲ e r d ʌ v ʌ
твердое	t vʲ e r d ʌ j ɪ
твердой	t vʲ e r d ʌ j
твердокаменного	t vʲ i r d ʌ k ɑ mʲ i n n ʌ v ʌ
твердому	t vʲ e r d ʌ m u
твердости	t vʲ e r d ʌ sʲ tʲ ɪ
твердостию	t vʲ i r d o sʲ tʲ i ju
твердость	t vʲ e r d ʌ s tʲ
твердостью	t vʲ e r d ʌ s tʲ j ju
твердою	t vʲ e r d ʌ ju
твердую	t vʲ e r d u ju
тверды	t vʲ i r d y
твердые	t vʲ e r d y j ɪ
твердый	t vʲ e r d y j
твердым	t vʲ e r d y m
твердыми	t vʲ e r d y mʲ ɪ
твердых	t vʲ e r d y x
твердь	t vʲ e r tʲ
твердя	t vʲ i r dʲ ɑ
твердят	t vʲ i r dʲ ɑ t
тверже	t vʲ e r ʒ y
твержу	t vʲ i r ʒ u
тверской	t vʲ i r s k o j
твое	t v ʌ j e
твоего	t v ʌ j i v o
твоегото	t v ʌ j e ɡ ʌ t ʌ
твоей	t v ʌ j e j
твоем	t v ʌ j e m
твоему	t v ʌ j e m u
твоею	t v ʌ j e ju
твоея	t v ʌ j e ja
твои	t v ʌ i
твоим	t v ʌ i m
твоими	t v ʌ i mʲ ɪ
твоих	t v ʌ i x
твой	t v o j
творение	t v ʌ rʲ e nʲ i j ɪ
творений	t v ʌ rʲ e nʲ i j
творения	t v ʌ rʲ e nʲ i ja
творениями	t v ʌ rʲ e nʲ i ja mʲ ɪ
творенье	t v ʌ rʲ e n j j ɪ
творенья	t v ʌ rʲ e n j ja
творец	t v ʌ rʲ e ts
твори	t v ʌ rʲ i
творил	t v ʌ rʲ i ɭ
творила	t v ʌ rʲ i ɭ a
творились	t v ʌ rʲ i ɭʲ i sʲ
творит	t v ʌ rʲ i t
творити	t v ʌ rʲ i tʲ ɪ
творится	t v ʌ rʲ i ts ʌ
творить	t v ʌ rʲ i tʲ
твориться	t v ʌ rʲ i tʲ sʲ ʌ
творишь	t v ʌ rʲ i ʃ
творог	t v ʌ r o k
творца	t v ʌ r ts ɑ
творце	t v ʌ r ts ɛ
творцетруженике	t v ʌ r ts y t r u ʒ y nʲ i kʲ i
творцов	t v ʌ r ts o f
творцом	t v ʌ r ts o m
творцу	t v ʌ r ts u
творцы	t v ʌ r ts y
творческая	t v o r tʃʲ i s k ʌ ja
творческие	t v o r tʃʲ i s kʲ i j ɪ
творческий	t v o r tʃʲ i s kʲ i j
творческим	t v o r tʃʲ i s kʲ i m
творческими	t v o r tʃʲ i s kʲ i mʲ ɪ
творческих	t v o r tʃʲ i s kʲ i x
творческого	t v o r tʃʲ i s k ʌ v ʌ
творческое	t v o r tʃʲ i s k ʌ j ɪ
творческой	t v o r tʃʲ i s k ʌ j
творческом	t v o r tʃʲ i s k ʌ m
творческому	t v o r tʃʲ i s k ʌ m u
творческую	t v o r tʃʲ i s k u ju
творчества	t v o r tʃʲ i s t v a
творчестве	t v o r tʃʲ i s t vʲ i
творчество	t v o r tʃʲ i s t v ʌ
творчеством	t v o r tʃʲ i s t v ʌ m
творчеству	t v o r tʃʲ i s t v u
творят	t v ʌ rʲ ɑ t
творятся	t v ʌ rʲ ɑ ts ʌ
твою	t v ʌ ju
твоя	t v ʌ ja
тд	t ɛ d ɛ
те	tʲ e
теа	tʲ e a
театр	tʲ i ɑ t r
театра	tʲ i ɑ t r a
театральная	tʲ i a t r ɑ ɭ n ʌ ja
театрального	tʲ i a t r ɑ ɭ n ʌ v ʌ
театральное	tʲ i a t r ɑ ɭ n ʌ j ɪ
театральной	tʲ i a t r ɑ ɭ n ʌ j
театральном	tʲ i a t r ɑ ɭ n ʌ m
театральности	tʲ i a t r ɑ ɭ n ʌ sʲ tʲ ɪ
театральные	tʲ i a t r ɑ ɭ n y j ɪ
театральных	tʲ i a t r ɑ ɭ n y x
театре	tʲ i ɑ t rʲ i
театрик	tʲ i ɑ t rʲ i k
театру	tʲ i ɑ t r u
театры	tʲ i ɑ t r y
тебальдо	tʲ i b ɑ ɭ d ʌ
тебе	tʲ e bʲ i
тебя	tʲ i bʲ ɑ
тевтон	tʲ i f t o n
тедеско	tʲ i dʲ e s k ʌ
тезей	tʲ e ʑ i j
тезисы	tʲ e ʑ i s y
тезка	tʲ e s k a
тек	tʲ e k
текинец	tʲ i kʲ i nʲ e ts
текинский	tʲ i kʲ i n s kʲ i j
текинской	tʲ i kʲ i n s k ʌ j
текинцами	tʲ i kʲ i n ts ʌ mʲ ɪ
текинцев	tʲ i kʲ i n ts y f
текинцы	tʲ i kʲ i n ts y
текла	tʲ i k ɭ ɑ
текли	tʲ i k ɭʲ i
текст	tʲ e k s t
текста	tʲ e k s t a
текстами	tʲ e k s t ʌ mʲ ɪ
тексте	tʲ e k sʲ tʲ i
текстов	tʲ e k s t ʌ f
текстом	tʲ e k s t ʌ m
тексту	tʲ e k s t u
тексты	tʲ e k s t y
текут	tʲ i k u t
текучая	tʲ i k u tʃʲ ʌ ja
текучее	tʲ i k u tʃʲ i j ɪ
текучий	tʲ i k u tʃʲ i j
текущая	tʲ i k u ɕ ʌ ja
текущего	tʲ i k u ɕ i v ʌ
текущей	tʲ i k u ɕ i j
текущею	tʲ i k u ɕ i ju
текущий	tʲ i k u ɕ i j
текущим	tʲ i k u ɕ i m
текущих	tʲ i k u ɕ i x
текущую	tʲ i k u ɕ u ju
тел	tʲ e ɭ
тела	tʲ e ɭ a
телаинстинктивно	tʲ i ɭ a i n sʲ tʲ i n k tʲ i v n ʌ
теле	tʲ e ɭʲ i
телег	tʲ i ɭʲ e k
телега	tʲ i ɭʲ e ɡ a
телегами	tʲ i ɭʲ e ɡ ʌ mʲ ɪ
телегах	tʲ i ɭʲ e ɡ ʌ x
телеге	tʲ i ɭʲ e ɡʲ i
телеги	tʲ i ɭʲ e ɡʲ ɪ
телеграмм	tʲ i ɭʲ i ɡ r ɑ m m
телеграммам	tʲ i ɭʲ i ɡ r ɑ m m ʌ m
телеграммой	tʲ i ɭʲ i ɡ r ɑ m m ʌ j
телеграмму	tʲ i ɭʲ i ɡ r ɑ m m u
телеграммы	tʲ i ɭʲ i ɡ r ɑ m m y
телеграф	tʲ i ɭʲ i ɡ r ɑ f
телеграфа	tʲ i ɭʲ i ɡ r ɑ f a
телеграфировал	tʲ i ɭʲ i ɡ r a fʲ i r ʌ v ʌ ɭ
телеграфных	tʲ i ɭʲ i ɡ r ɑ f n y x
телеграфу	tʲ i ɭʲ i ɡ r ɑ f u
телегу	tʲ i ɭʲ e ɡ u
тележка	tʲ i ɭʲ e ʃ k a
тележке	tʲ i ɭʲ e ʃ kʲ i
тележки	tʲ i ɭʲ e ʃ kʲ ɪ
тележку	tʲ i ɭʲ e ʃ k u
